,mAP,map_small,map_medium,map_large,mar_small,mar_medium,mar_large
"RetinaNet
(Baseline)",0.28705913,0.0,0.13879603,0.34793192,0.0,0.19731605,0.46912563
"RetinaNet
(Best Student)",0.42204368,0.0,0.25935277,0.48523262,0.0,0.3202684,0.5633776
"FCOS
(Baseline)",0.3420441,0.0,0.14069985,0.41594714,0.0,0.2672374,0.50947386
"FCOS
(Best Student)",0.4608743,0.0,0.2647156,0.53749776,0.0,0.3867191,0.61730015
"Faster R-CNN
(Baseline)",0.30549768,0.0,0.13014929,0.37298596,0.0,0.1813975,0.48056543
"Faster R-CNN
(Best Student)",0.40725413,0.0,0.24437064,0.47129336,0.0,0.29254976,0.5466018
"SSD
(Baseline)",0.20929582,0.0,0.06934423,0.26455885,0.0,0.08884776,0.32323536
"SSD
(Best Student)",0.36655593,0.0,0.19012308,0.43354443,0.0,0.2502545,0.52196217
"SSDLite
(Baseline)",0.050101474,0.0,0.0044554453,0.06857872,0.0,0.001434521,0.08417899
"SSDLite
(Best Student)",0.085177585,0.0,0.006930693,0.11629696,0.0,0.0011568718,0.13094926
