,mAP,map_small,map_medium,map_large,mar_small,mar_medium,mar_large
"RetinaNet
(Baseline)",0.057167593,0.0,0.0053315037,0.06688072,0.0,0.005699893,0.07573848
"RetinaNet
(Best Student)",0.07959579,0.0,0.014624538,0.09156289,0.0,0.020281807,0.106866114
"FCOS
(Baseline)",0.1806734,0.0018151816,0.050048284,0.20238775,0.0013888889,0.08168981,0.28288868
"FCOS
(Best Student)",0.21423905,0.008828383,0.06523007,0.2400887,0.008134921,0.10312638,0.3167989
"Faster R-CNN
(Baseline)",0.30668202,0.014878794,0.11455653,0.3451727,0.035515875,0.18553732,0.4540405
"Faster R-CNN
(Best Student)",0.28203645,0.06182537,0.1058849,0.3151602,0.0906746,0.20182212,0.42541865
"SSD
(Baseline)",0.16664301,0.0,0.0048784087,0.19382748,0.0,0.0041344636,0.23428142
"SSD
(Best Student)",0.20638216,0.0,0.002423137,0.24011764,0.0,0.0018071024,0.2897129
"SSDLite
(Baseline)",0.27653536,0.0,0.00026055236,0.3260503,0.0,0.00011722954,0.40023515
"SSDLite
(Best Student)",0.31729636,0.0,0.0017717561,0.3746138,0.0,0.0012683021,0.45528647
