,mAP,map_small,map_medium,map_large,mar_small,mar_medium,mar_large
"RetinaNet
(Baseline)",0.60811967,-1.0,0.44037223,0.6446209,-1.0,0.504,0.7051724
"RetinaNet
(Best Student)",0.75658643,-1.0,0.62015027,0.79104203,-1.0,0.676,0.8284483
"FCOS
(Baseline)",0.6843639,-1.0,0.5134044,0.71812063,-1.0,0.588,0.7603448
"FCOS
(Best Student)",0.7330502,-1.0,0.6239828,0.75561446,-1.0,0.668,0.8
"Faster R-CNN
(Baseline)",0.6470044,-1.0,0.4335967,0.6877531,-1.0,0.504,0.73448277
"Faster R-CNN
(Best Student)",0.7444169,-1.0,0.67334616,0.7622688,-1.0,0.704,0.80517244
"SSD
(Baseline)",0.45246366,-1.0,0.08990649,0.5376105,-1.0,0.112,0.57758623
"SSD
(Best Student)",0.5865192,-1.0,0.49733216,0.60763466,-1.0,0.548,0.6637931
"SSDLite
(Baseline)",0.3025448,-1.0,0.0,0.36630365,-1.0,0.0,0.4301724
"SSDLite
(Best Student)",0.41141286,-1.0,0.014851485,0.49713707,-1.0,0.012,0.5405173
