,mAP,map_small,map_medium,map_large,mar_small,mar_medium,mar_large
"RetinaNet
(Baseline)",0.2030071,0.08246178,0.2596834,0.41442022,0.09625151,0.2942029,0.47112462
"RetinaNet
(Best Student)",0.31208706,0.11473135,0.4303159,0.5887944,0.13784765,0.4969203,0.64954406
"FCOS
(Baseline)",0.28843153,0.15401548,0.37427276,0.4896283,0.18899637,0.44347826,0.54012156
"FCOS
(Best Student)",0.40860742,0.27429536,0.49944827,0.61625296,0.34498185,0.5684783,0.6744681
"Faster R-CNN
(Baseline)",0.28727856,0.13093355,0.36396423,0.5499535,0.16191052,0.4427536,0.6218845
"Faster R-CNN
(Best Student)",0.4253745,0.2819305,0.4823105,0.68125296,0.3337364,0.5519928,0.74133736
"SSD
(Baseline)",0.17603955,0.021185476,0.24506927,0.43322092,0.028053204,0.30380434,0.48662615
"SSD
(Best Student)",0.18198112,0.013465929,0.2546049,0.48873618,0.012938331,0.3,0.5610942
"SSDLite
(Baseline)",0.08104146,0.0,0.006930693,0.3934786,0.0,0.0032608695,0.4705167
"SSDLite
(Best Student)",0.09617197,0.000990099,0.0055292067,0.47424605,0.00012091899,0.005615942,0.53647417
