,mAP,map_small,map_medium,map_large,mar_small,mar_medium,mar_large
"RetinaNet
(Baseline)",0.059381727,0.018924974,0.086147346,0.14170912,0.02151619,0.10623319,0.18433829
"RetinaNet
(Best Student)",0.10208271,0.009396844,0.13840996,0.26048508,0.00840781,0.16315287,0.30930784
"FCOS
(Baseline)",0.15711778,0.110198796,0.19779585,0.23553646,0.13779987,0.26240036,0.30408305
"FCOS
(Best Student)",0.22744893,0.12712859,0.29919735,0.34766325,0.17188689,0.37979484,0.46191207
"Faster R-CNN
(Baseline)",0.14322464,0.07699213,0.19702628,0.2211919,0.09502727,0.24060462,0.28548414
"Faster R-CNN
(Best Student)",0.21786006,0.14379872,0.26123136,0.3295133,0.19141193,0.32958928,0.39482063
"SSD
(Baseline)",0.040070925,0.0059405942,0.06920554,0.107566886,0.0042613028,0.08300416,0.16807298
"SSD
(Best Student)",0.052915625,0.006696144,0.09979548,0.109356195,0.0069629597,0.120945565,0.17835496
"SSDLite
(Baseline)",0.025282526,0.0,0.000660066,0.11729197,0.0,0.00032362458,0.17043711
"SSDLite
(Best Student)",0.025626784,0.0,0.0,0.13240167,0.0,0.0,0.1770134
