,mAP,map_small,map_medium,map_large,mar_small,mar_medium,mar_large
"RetinaNet
(Baseline)",0.03121157,0.020921832,0.09565369,0.035346534,0.021333333,0.1557377,0.2
"RetinaNet
(Best Student)",0.05535086,0.038965225,0.22363621,0.25247526,0.045666665,0.29344264,0.25
"FCOS
(Baseline)",0.052101348,0.03857196,0.14632516,0.0,0.049,0.2409836,0.0
"FCOS
(Best Student)",0.13431363,0.09216791,0.3426058,0.4039604,0.12566666,0.42131147,0.4
"Faster R-CNN
(Baseline)",0.0516684,0.031798832,0.21498723,0.11361386,0.034,0.30819672,0.45
"Faster R-CNN
(Best Student)",0.1628966,0.12667933,0.38873166,0.4039604,0.172,0.49508196,0.4
"SSD
(Baseline)",0.018168459,0.011026103,0.084379934,0.08836634,0.008,0.16557378,0.35
"SSD
(Best Student)",0.018042477,0.009158416,0.08959316,0.11782178,0.006,0.14918032,0.35
"SSDLite
(Baseline)",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"SSDLite
(Best Student)",0.0,0.0,0.0,0.0,0.0,0.0,0.0
