Model,Dataset,Student Alpha,mAP,mAP@50,mAP@75,mAP@Small,mAP@Medium,mAP@Large,mAR@1,mAR@10,mAR@100,mAR@Small,mAR@Medium,mAR@Large
RetinaNet,Teachers SODA 01m,0.0,0.94373673,0.980198,0.9645986,,0.92926186,0.95456356,0.6269504,0.964539,0.964539,,0.936,0.97068965
FCOS,Teachers SODA 01m,0.0,0.95745385,0.980198,0.96559584,,0.9340594,0.96852195,0.6283688,0.970922,0.970922,,0.94,0.9775862
Faster R-CNN,Teachers SODA 01m,0.0,0.96106917,0.990099,0.9764498,,0.98481846,0.9609729,0.6269504,0.97659576,0.97659576,,0.988,0.9741379
SSD,Teachers SODA 01m,0.0,0.77589744,0.96039605,0.9448078,,0.78318715,0.78020513,0.5382979,0.8148936,0.8148936,,0.824,0.81293106
SSDLite,Teachers SODA 01m,0.0,0.6073708,0.7326733,0.7180689,,0.0,0.734261,0.4815603,0.6297872,0.6297872,,0.0,0.76551723
RetinaNet,Teachers SODA Tiled Binary,0.0,0.895176,0.95309407,0.9387767,0.7832715,0.97791415,0.97240776,0.3427986,0.8307377,0.9137002,0.8419589,0.9838768,0.9762918
FCOS,Teachers SODA Tiled Binary,0.0,0.88566875,0.9405941,0.92799556,0.7968492,0.954776,0.96888447,0.33542153,0.8233021,0.9032201,0.82902056,0.97065216,0.97659576
Faster R-CNN,Teachers SODA Tiled Binary,0.0,0.95785475,0.9900175,0.9795608,0.92153794,0.98704684,0.9859397,0.3504684,0.87230676,0.96592504,0.9370012,0.9945652,0.9905775
SSD,Teachers SODA Tiled Binary,0.0,0.48614582,0.6232005,0.5867983,0.18839867,0.77171326,0.7533653,0.2662178,0.5129977,0.5149298,0.20798065,0.8036232,0.80212766
SSDLite,Teachers SODA Tiled Binary,0.0,0.17836589,0.22647727,0.1911302,0.0027745105,0.047140464,0.80129975,0.17019907,0.18811475,0.18811475,0.011124547,0.0682971,0.83404255
RetinaNet,Teachers SODA Tiled Multi-label,0.0,0.87965465,0.91716254,0.90950674,0.75417364,0.9755598,0.9827479,0.66113806,0.8864664,0.88862246,0.7690741,0.9818689,0.9860324
FCOS,Teachers SODA Tiled Multi-label,0.0,0.9078672,0.945282,0.94125193,0.8275226,0.9729938,0.97481585,0.6811601,0.91827184,0.9204711,0.8486412,0.98070204,0.9783194
Faster R-CNN,Teachers SODA Tiled Multi-label,0.0,0.949936,0.9850554,0.9800987,0.91393137,0.978166,0.9823157,0.703798,0.9605172,0.9641826,0.9334998,0.9862627,0.9871414
SSD,Teachers SODA Tiled Multi-label,0.0,0.3621718,0.48561484,0.44814035,0.14682944,0.54822904,0.5462375,0.32974273,0.41481203,0.41496295,0.16198513,0.59420085,0.61835057
SSDLite,Teachers SODA Tiled Multi-label,0.0,0.11339195,0.13237524,0.12959743,0.00041666668,0.001410141,0.4592109,0.12810917,0.13118885,0.13118885,0.0009681881,0.0016228822,0.5414648
RetinaNet,Teachers BDW,0.0,0.4634183,0.9563663,0.32273552,0.0,0.35438395,0.51884216,0.38032788,0.5378915,0.5378915,0.0,0.40152708,0.59316605
FCOS,Teachers BDW,0.0,0.48802304,0.9586494,0.4305699,0.1,0.37237737,0.5510494,0.39277622,0.55888313,0.55888313,0.1,0.42683944,0.6123947
Faster R-CNN,Teachers BDW,0.0,0.48476303,0.9691423,0.33538315,0.2,0.4005652,0.52487636,0.38104758,0.53669196,0.5367586,0.2,0.41429892,0.5863696
SSD,Teachers BDW,0.0,0.54697305,0.94539535,0.61748976,0.0,0.45360082,0.58229953,0.4262295,0.5928295,0.59285617,0.0,0.48431283,0.63688445
SSDLite,Teachers BDW,0.0,0.22524719,0.374189,0.274444,0.0,0.01039604,0.31185344,0.21452752,0.24448887,0.24448887,0.0,0.008329477,0.34008613
RetinaNet,Teachers UAVVASTE,0.0,0.39754623,0.77996,0.36819184,0.30700237,0.7198906,0.92524755,0.13140497,0.4402204,0.46639118,0.407,0.742623,0.95
FCOS,Teachers UAVVASTE,0.0,0.41931725,0.71024436,0.46563047,0.35930777,0.7369195,0.9,0.13663912,0.45812672,0.45812672,0.39466667,0.7557377,0.9
Faster R-CNN,Teachers UAVVASTE,0.0,0.43896332,0.8350059,0.43620226,0.36789435,0.749237,0.85049504,0.14738292,0.45564738,0.45867768,0.393,0.7688525,0.85
SSD,Teachers UAVVASTE,0.0,0.13489053,0.24096535,0.117905684,0.06300362,0.4523687,0.8,0.08319559,0.15426998,0.15426998,0.079333335,0.50163937,0.8
SSDLite,Teachers UAVVASTE,0.0,0.00983272,0.02502921,0.006750675,0.0022277227,0.05510176,0.2019802,0.014325069,0.014325069,0.014325069,0.0023333333,0.06721312,0.2
RetinaNet,Teachers Pascal VOC 2012,0.0,0.7694404,0.8625829,0.7878865,0.27966678,0.6321117,0.797675,0.59798586,0.8092916,0.8097098,0.30278847,0.6676213,0.8363247
FCOS,Teachers Pascal VOC 2012,0.0,0.80406576,0.8815139,0.82282776,0.55911094,0.66617703,0.82877105,0.6060184,0.83556604,0.8362144,0.57111263,0.71810967,0.85795057
Faster R-CNN,Teachers Pascal VOC 2012,0.0,0.76923543,0.90855086,0.8224218,0.5071401,0.66162455,0.79072654,0.59258,0.8239823,0.82497483,0.5586798,0.71987015,0.8453214
SSD,Teachers Pascal VOC 2012,0.0,0.41814297,0.558915,0.48984635,0.0029702971,0.0632253,0.4792722,0.41415152,0.48443478,0.48443478,0.0026785715,0.06790585,0.55722576
SSDLite,Teachers Pascal VOC 2012,0.0,0.49442503,0.60890126,0.5398229,0.0,0.0048651122,0.58351755,0.45552117,0.5462806,0.54630846,0.0,0.0049144663,0.64681536
