,AP@0.00,AP@0.05,AP@0.10,AP@0.15,AP@0.20,AP@0.25,AP@0.30,AP@0.35,AP@0.40,AP@0.45,AP@0.50,AP@0.55,AP@0.60,AP@0.65,AP@0.70,AP@0.75,AP@0.80,AP@0.85,AP@0.90,AP@0.95,AP@0.5:0.95
Background,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
person,0.15607327080366654,0.15222226055227897,0.15121683225556562,0.14991475597117554,0.14831992948276393,0.14732749379823476,0.14525422269473873,0.1413457784346191,0.13701249241327226,0.1322768518440939,0.12405347779163638,0.11556688674208367,0.10435747726580205,0.09285255249111102,0.0777158094954574,0.05937530487872421,0.04258913310909528,0.025200670478754607,0.010474860486413084,0.0011521615284189155,0.06533383342674967
chair,0.023176115168852585,0.022667696660539333,0.022164916804813656,0.02150331490120454,0.02060998003916984,0.020051361859903288,0.01903428989941897,0.018043688280248552,0.01649940230282572,0.015438630784787667,0.013358046294590777,0.011427982502634505,0.00884140725732179,0.007189986880734979,0.005172602288290523,0.003653846876750332,0.002316859696540248,0.00116563479324314,0.00034113848154844917,2.5373936644099526e-05,0.005349287900829884
car,0.11890088957561776,0.11076874234310811,0.10970621858034024,0.10917687692262396,0.10654937087071903,0.10447040871320692,0.10241192894148311,0.10139036995029181,0.09785523817814298,0.09487505104594583,0.09001048442122538,0.08295366244260131,0.07662716553224119,0.06970411913579694,0.05915313015660063,0.04528911527614736,0.03445137289591492,0.020280122228637194,0.008029095229012276,0.000829536624426013,0.04873278039426032
dog,0.0954317665646292,0.0954317665646292,0.09485251590514748,0.09427502856578596,0.09312534384742345,0.09198271240954167,0.09028199015362046,0.08637535442734416,0.08418178419783041,0.08147949611364246,0.07672646672967597,0.07161283838113106,0.06764889475094867,0.06052067316508908,0.05249051333775338,0.04190001269590486,0.03318215802169589,0.024883973536091637,0.00990633243521562,0.0017068938763418866,0.0440578756929848
bottle,0.060241467820135,0.05559653959501855,0.05494818899134899,0.05113794086890389,0.05113794086890389,0.05113794086890389,0.05051620876509174,0.04989827930411636,0.04989827930411636,0.04867382831067592,0.04509173875843711,0.042211236809582664,0.038338245080330825,0.031151250118832588,0.021363247456982603,0.01574484266565263,0.009856450232911873,0.0049453370092214085,0.0011883258864911113,1.7111892765472005e-05,0.020990778591120824
cat,0.19585246983805954,0.19585246983805954,0.1935139538476664,0.1935139538476664,0.19118948299835675,0.1888790572901305,0.1775376058652509,0.16224946979592408,0.1517507268360511,0.13961572493995703,0.11505779575555837,0.09449570920939901,0.08343516060618829,0.06607536622705375,0.05943903706512732,0.05562578126097277,0.042725319175831125,0.03640500568828214,0.019726400651694547,0.004389106588575682,0.05773746822286829
bird,0.054608980204010324,0.0510093994733568,0.0510093994733568,0.04983680878079542,0.04867785286372894,0.04696498419218217,0.043631281583679175,0.04147698705548501,0.039377231629270454,0.03783820634528365,0.03534133808278013,0.03198888765797166,0.028362037376328322,0.02495334350260339,0.021379327976002796,0.01380521018858599,0.009844307907317613,0.006341874952065242,0.0027269550989799485,0.0003834780607940552,0.01751267608034291
pottedplant,0.0394580846165511,0.037996801720453825,0.03763578902383546,0.035856573705179286,0.03515695005445347,0.034120438660582585,0.03309943616537311,0.031432229559271566,0.0307774093935676,0.029488447593708215,0.027299108066005873,0.02374240063965591,0.02096803099022595,0.01640841478377149,0.010615841133734956,0.006079488275272612,0.003312011469692166,0.0015931085347192543,0.00027916017590537504,3.4464219247577168e-06,0.011030101049090833
sheep,0.2095968534906588,0.20389380530973453,0.20107177974434612,0.20107177974434612,0.1927236971484759,0.1927236971484759,0.18998033431661748,0.18998033431661748,0.18725663716814156,0.18186823992133727,0.16874139626352017,0.1561061946902655,0.1415929203539823,0.11682399213372664,0.10230088495575221,0.08504424778761062,0.06611602753195674,0.04546705998033432,0.01818092428711898,0.0011897738446411013,0.09015634218289086
boat,0.106958057898336,0.09929336676544336,0.09336676544335536,0.09047184864372007,0.08904148620925462,0.08481878276726691,0.07934807385457031,0.07276612719398223,0.06895372692044677,0.06770572144973787,0.06282767266925006,0.05928880784134944,0.05035331661727832,0.038317757009345796,0.029541828128561657,0.019837018463642577,0.011032596307271483,0.00583542284020971,0.0030145885571005245,5.1287896056530664e-05,0.028010029633006604
mAP,0.10602979559805167,0.10247328488226223,0.10094863600697761,0.0996758881951401,0.09765320343832498,0.09624768777084287,0.09310953722398439,0.08949586183179002,0.08635629283436654,0.08292601983491699,0.07585075248326802,0.06893946069166747,0.062052465583064764,0.052399745544806565,0.04391722219942634,0.034635486836926396,0.025542623634822736,0.017211821004155865,0.007386778128947992,0.0009748170670588514,0.0388911173174145
