Class,Precision,Recall,F1 Score
Background,0.0,0.0,0.0
person,0.1495096696433463,0.829735481909395,0.2533655185219571
chair,0.019018235402468227,0.7023809523809523,0.03703371592539455
car,0.12073406310367031,0.7455268389662028,0.2078137988362427
dog,0.09467265725288831,0.8104395604395604,0.16954022988505746
bottle,0.0980891719745223,0.4597014925373134,0.16167979002624672
cat,0.21843003412969283,0.5267489711934157,0.3088057901085645
bird,0.052766581165262,0.6697674418604651,0.09782608695652174
pottedplant,0.038494809688581315,0.7091633466135459,0.07302564102564102
sheep,0.2911111111111111,0.5796460176991151,0.38757396449704146
boat,0.12266355140186916,0.5121951219512195,0.19792648444863337
Mean,0.12054898848734119,0.6545305225551186,0.18945910202313007
