,AP@0.00,AP@0.05,AP@0.10,AP@0.15,AP@0.20,AP@0.25,AP@0.30,AP@0.35,AP@0.40,AP@0.45,AP@0.50,AP@0.55,AP@0.60,AP@0.65,AP@0.70,AP@0.75,AP@0.80,AP@0.85,AP@0.90,AP@0.95,AP@0.5:0.95
Background,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
person,0.09770756429641753,0.09710087489486381,0.09691923650925693,0.096375341633585,0.09607383910710436,0.09547225111129401,0.09451364028982938,0.09344098470885749,0.09178457715808168,0.0890954939320857,0.0847402538021155,0.07977876828183218,0.07133941829010401,0.06191217162912523,0.05058512368112602,0.03828103372165234,0.026981712858573086,0.015357356873259995,0.005674133008536276,0.0005857264027675467,0.04352356985490922
chair,0.01762163554880642,0.017055768176216353,0.016745387613734952,0.01625470701100953,0.0157114127702363,0.015001385169452397,0.014479638009049773,0.01351931085824643,0.012378512658624703,0.01123731543899611,0.009535495109724802,0.008449248645327078,0.006903274130164887,0.005692077400760874,0.004186346903433738,0.0029892868828443058,0.0018060785567788368,0.0008623962405475012,0.00019842694912722926,6.897345832920062e-06,0.004062952816454217
car,0.05707089785285261,0.054703071001194446,0.05446904743630069,0.053537969759038496,0.05215640299008373,0.05147239199172866,0.05056740054249321,0.04944744854115278,0.04878149723912392,0.04616284127182402,0.04319904444140105,0.038937708595763294,0.034710736338968456,0.0312555652710033,0.02552462163682051,0.01994693459229483,0.012473481091748775,0.008126863346792825,0.00314640042661016,0.0003815110848911076,0.02177028668262943
dog,0.06298101484436888,0.06262060920446014,0.06262060920446014,0.06226123772707624,0.06190290041221718,0.06118932827007361,0.060479892778029426,0.05837640620249316,0.05631014947785134,0.05428112260410397,0.05294912127210264,0.04969150931883851,0.0449989968623509,0.03996210828508965,0.035494526177755996,0.028555812717303404,0.02280328367284889,0.015297332067518403,0.007696237509902106,0.0008692136021328568,0.02983181414858434
bottle,0.0864494234165599,0.08000831111265021,0.07688125497801018,0.07585275478754717,0.07585275478754717,0.07483118052429269,0.0738165321882467,0.07180801329778023,0.0698271981161478,0.06690791979776292,0.06218097447795824,0.05852408491186758,0.0515427502856945,0.045004675000865746,0.03394050628527894,0.021068670568272326,0.012885687571423625,0.005000519444540638,0.000886518682688645,3.4629636042525194e-06,0.029103785019219446
cat,0.044263775971093045,0.044263775971093045,0.044263775971093045,0.03252032520325203,0.02900732711030814,0.025695071765532474,0.025695071765532474,0.02258355916892502,0.012144936264177458,0.00491819733012145,0.00250928435210278,0.0004014854963364449,0.00010037137408411123,0.00010037137408411123,0.00010037137408411123,0.00010037137408411123,0.00010037137408411123,0.00010037137408411123,0.00010037137408411123,0.0,0.00036133694670280027
bird,0.1260100007937138,0.11620763552662909,0.11620763552662909,0.1123978093499484,0.11051670767521232,0.10496864830542106,0.10134931343757442,0.09257877609334075,0.08584808318120486,0.08257798237955394,0.06864830542106516,0.06146519565044845,0.058703071672354945,0.05079768235574252,0.045844908326057615,0.03778871338995158,0.026700531788237166,0.018287165648067306,0.0066751329470592915,0.00028573696325105165,0.03751964441622351
pottedplant,0.05603782731878416,0.053298010989478825,0.05115559822069873,0.04957762881600108,0.048024379558635505,0.04700261346890961,0.044992041485900594,0.04351295267053125,0.04157928781255536,0.038761191016698456,0.034719446927903685,0.02887450542538567,0.025029149173729073,0.017536197849072514,0.011623962612150502,0.007520418155025538,0.0038577163253226327,0.0017798506079096232,0.0005493366073795133,3.433353796121958e-05,0.013152491722183999
sheep,0.15310033990686253,0.15096656334695954,0.14674393183894105,0.14674393183894105,0.14052228860638188,0.13847835527005375,0.13847835527005375,0.1284832966473504,0.1132698441220071,0.10602249075363492,0.09224652980548942,0.08097869218214217,0.07337945285476843,0.05666861326984412,0.047916385906592994,0.03668598295973526,0.02432505278289385,0.01516104397825794,0.005457975832172859,2.994774119162062e-05,0.04328496773130887
boat,0.06757470172104318,0.060986168303241474,0.05860257628550312,0.056266497729912365,0.05473550839404497,0.05173688100517369,0.04882272199345371,0.045993031358885016,0.044609861683032416,0.04058705522120156,0.037379896526237986,0.03311160384331116,0.02587108013937282,0.01952275366909513,0.017318656952803296,0.011849329532256363,0.007137577869285186,0.0034209692746278108,0.0011640798226164079,6.599091964945623e-05,0.015684193854925563
mAP,0.07688171816705021,0.07372107885267869,0.07246090535846281,0.07017882038563113,0.06845035214117715,0.06658481068819319,0.06531946077601634,0.06197437795475626,0.05765339477128066,0.0540551609745983,0.04881083521361012,0.04402128023512525,0.03925783011215921,0.03284522161046832,0.02725354098561037,0.02047865538934201,0.013907149389119616,0.008339386885560617,0.0031548613160176596,0.00022628205612820312,0.02382950431931414
