Class,Precision,Recall,F1 Score
Background,0.0,0.0,0.0
person,0.08564549415271727,0.9084828215262998,0.15653403881918435
chair,0.01437392795883362,0.7125850340136054,0.028179433721164843
car,0.10410355274029193,0.7514910536779325,0.18287373004354138
dog,0.04690647482014389,0.8956043956043956,0.08914410719168718
bottle,0.11295469049138482,0.5283582089552239,0.18611987381703468
cat,0.09523809523809523,0.01646090534979424,0.028070175438596492
bird,0.07730496453900709,0.5069767441860465,0.13415384615384618
pottedplant,0.03656425789701428,0.6733067729083665,0.0693617894520829
sheep,0.23891625615763548,0.42920353982300885,0.3069620253164557
boat,0.07326236693800876,0.5707317073170731,0.12985571587125413
Mean,0.08852700809331324,0.5993201183361746,0.13112547358248478
