,AP@0.00,AP@0.05,AP@0.10,AP@0.15,AP@0.20,AP@0.25,AP@0.30,AP@0.35,AP@0.40,AP@0.45,AP@0.50,AP@0.55,AP@0.60,AP@0.65,AP@0.70,AP@0.75,AP@0.80,AP@0.85,AP@0.90,AP@0.95,AP@0.5:0.95
Background,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
person,0.10396454300629134,0.1016840997899323,0.10035447565146578,0.09896778793015641,0.09778687693570594,0.09589920661493916,0.09345355573991444,0.0904094646225092,0.08673682092928149,0.08146016225242791,0.07519752974298428,0.06803479769439498,0.06019968447568549,0.05107962887735806,0.04061641882582835,0.030724599325214652,0.020649601020332302,0.01178509008099627,0.004258997437804659,0.0004159177185356113,0.03629622651991347
chair,0.3758919943064699,0.3745554904957084,0.3745554904957084,0.37188962358911376,0.3705602604932806,0.3665864526356379,0.36263406692278033,0.3573975426419693,0.3521991021741097,0.34575460695124793,0.3431934705302695,0.33430447056359286,0.320571685637166,0.30351013743495997,0.28458248239813766,0.2753471577574346,0.25733351423144485,0.2293609536186763,0.18851963458581472,0.08484240442153068,0.26215659111790274
car,0.17961737770100708,0.17961737770100708,0.17961737770100708,0.1788967470224192,0.17674354600991501,0.17602870934683337,0.17602870934683337,0.17389289038084788,0.1717701079497514,0.17036216218173655,0.16896001042922792,0.16617308897072935,0.15795138096738331,0.15325171013988928,0.14600991500903504,0.13205213165451735,0.12234136166606915,0.10679529381090506,0.08079464922667999,0.034735847211811104,0.12690653890862477
dog,0.07718674514340149,0.07671965547352544,0.07671965547352544,0.07671965547352544,0.0757897288470044,0.07394688644688643,0.07167522879597184,0.07122514997901995,0.0676755520021774,0.0629429909615668,0.05878950770591637,0.052825077399380804,0.0497744644416471,0.044299096156681296,0.034305220063733995,0.0272287052472811,0.01814490978577666,0.011252679209335556,0.004093945270415859,0.0005556878621894102,0.030126929314235808
bottle,0.4587290030682823,0.4587290030682823,0.4587290030682823,0.4587290030682823,0.4587290030682823,0.44645587394040254,0.44341359405065267,0.4403817151177909,0.43134848406053355,0.419449789380623,0.4019137760673982,0.37631182068750324,0.35971189349420146,0.3434864007488689,0.31727598939102397,0.2970565292006865,0.2703416714337719,0.21010452961672474,0.12982474387643664,0.03163971085339851,0.2737667065370014
cat,0.777363184079602,0.777363184079602,0.777363184079602,0.777363184079602,0.7704686444321602,0.7704686444321602,0.7704686444321602,0.7704686444321602,0.7704686444321602,0.7636048154290277,0.7499692893556906,0.729746330078005,0.7164179104477612,0.7097997665991033,0.6643326576991585,0.657960199004975,0.6265585651986978,0.6019900497512438,0.5898900558933726,0.531232725262576,0.6577897549290584
bird,0.20327162120087178,0.20327162120087178,0.20327162120087178,0.20130290039039112,0.20130290039039112,0.19934375972983978,0.19739419921921778,0.19739419921921778,0.19739419921921778,0.19545421885852513,0.18969175867602328,0.1858980193040021,0.17842550235911192,0.1747467247862429,0.1657174334778339,0.16217277800397575,0.15006825856824657,0.14170957775489187,0.12416353315929395,0.07246904414054078,0.15450626302301623
pottedplant,0.04860704511603678,0.04597301402126302,0.044939945558465956,0.044427813607448664,0.04290902687592172,0.04141665382668222,0.03803716992068558,0.03525492871974349,0.03435099381479607,0.03000741050530842,0.02441944927472431,0.020087605379586624,0.016488007454528112,0.01242030038226468,0.0073972984672727145,0.0033809513327903856,0.001797597822338638,0.0011504626062967282,0.0002113094582993991,5.869707174983308e-06,0.008735885188527658
sheep,0.11285064727655336,0.10852451008022848,0.10428292279653534,0.10288784923811134,0.10150217011442421,0.10150217011442421,0.09875899517126054,0.097401499351784,0.097401499351784,0.09338537850177554,0.08945380756439884,0.08434323506754599,0.07695920936437255,0.06877195949119742,0.05997876857749469,0.04697217368430942,0.03889765702797663,0.02236345189109971,0.00868515491422881,7.515547789489507e-05,0.0496500573060519
boat,0.1325209501134212,0.1325209501134212,0.13111490223280403,0.1269417521231323,0.125565699930635,0.12148253688532273,0.1161433043999925,0.10963798953900375,0.10708835604881797,0.10207907613280592,0.09479012391968654,0.0912468832605313,0.08892221743124426,0.08549146060253839,0.0810221030726833,0.07667272829530754,0.07244333627041113,0.06239478075026715,0.047033238971897796,0.019437205901651634,0.0719454078476219
mAP,0.24700031110119375,0.24589589060238418,0.2450948578258268,0.24381263165221823,0.24213578570977207,0.23931308939731286,0.23680074679994695,0.23434640240040466,0.23164337599826293,0.22645006111550453,0.21963787232663198,0.21089713284052722,0.20254219560731013,0.1946857185219104,0.1801238286982202,0.17095679535064923,0.15785764730250657,0.13989068690904374,0.11774752627942445,0.07754095685573038,0.1671880360691954
