,Class,Mean Euclidean Distance@0.50,Mean Euclidean Distance@0.55,Mean Euclidean Distance@0.60,Mean Euclidean Distance@0.65,Mean Euclidean Distance@0.70,Mean Euclidean Distance@0.75,Mean Euclidean Distance@0.80,Mean Euclidean Distance@0.85,Mean Euclidean Distance@0.90,Mean Euclidean Distance@0.95
0,Background,,,,,,,,,,
1,person,23.915972030991348,21.93638175078039,19.8268170068566,17.87989809521586,15.734842887338546,13.315610719019594,11.22439463026021,9.1658830511666,6.67778355191291,4.378376525343492
2,chair,9.097940630985807,8.009178166914168,6.669987258687589,5.6174525379590206,4.624035614942921,4.294852765573562,3.6929497171397063,3.1414704529219435,2.6589518911765473,2.0368138348076976
3,car,7.134660317003269,6.5443524898963545,5.722870011104805,5.15619288995343,4.6149125080751485,3.8410199981714492,3.5291879799968386,3.1421941952813435,2.6590414100537973,2.421570059053924
4,dog,41.128221501448444,37.13414419231592,33.746847566964895,30.95784123942037,25.51761673429684,21.365427826212848,16.879183135533953,14.53628157167292,9.382725379654111,5.97917222556942
5,bottle,4.655452817789059,4.067835162445478,3.734476218841035,3.4384311933865543,3.1479206789202467,2.7146140433868022,2.3024720858978998,1.9546331911939832,1.7958326388616128,1.5883309455969299
6,cat,12.658427890390808,10.47932469930041,9.52905877504088,9.108463928344783,7.095856432630472,5.43078397192132,4.302182540742161,3.7673751850717916,3.3702557787114715,3.16153139776941
7,bird,10.254235099096599,8.106784366111317,6.068481269902,5.094706081769259,4.4770806898987905,4.0841693029817305,3.130665409097997,2.595051459599232,2.4612206030190733,2.254749957526763
8,pottedplant,26.670106621423937,24.980284092268576,22.221385879650136,20.229172295655257,16.86529662368322,12.722918825309039,7.1196489769250135,5.493847627032506,6.188736413629827,7.16955800269652
9,sheep,15.376862615184171,13.788821391087641,11.702602557048756,11.37482732934058,10.785619838108603,8.444859032397332,7.952924760869716,7.3042349657759065,5.454991343174101,3.661111637224652
10,boat,5.748318863594935,5.564500071285442,5.208907073474887,4.847366032619552,4.43079865525124,3.889146580287317,3.6892550286722394,3.366501566434208,3.0632405884058116,3.0375987861322336
