Class,Precision,Recall,F1 Score
Background,0.0,0.0,0.0
person,0.09432672590567327,0.7972027972027972,0.16869330245126424
chair,0.37578726382085376,0.9132653061224489,0.5324739712444224
car,0.17595628415300546,0.9602385685884692,0.2974137931034483
dog,0.07430340557275542,0.7912087912087912,0.13584905660377358
bottle,0.4843205574912892,0.8298507462686567,0.6116611661166116
cat,0.8246268656716418,0.9094650205761317,0.8649706457925636
bird,0.20494335736354274,0.9255813953488372,0.3355817875210793
pottedplant,0.04751381215469613,0.5139442231075697,0.08698583951449766
sheep,0.1464968152866242,0.6106194690265486,0.2363013698630137
boat,0.12221368178324366,0.775609756097561,0.21115537848605576
Mean,0.2550488769203326,0.8026986073547813,0.34810863106967294
