,epoch,time_elapsed,total_time_elapsed
0,1,455.21667289733887,455.21667289733887
1,2,454.97190046310425,910.1885733604431
2,3,455.9674758911133,1366.1560492515564
3,4,454.8589015007019,1821.0149507522583
4,5,455.95164155960083,2276.966592311859
5,6,455.08736085891724,2732.0539531707764
6,7,454.94445419311523,3186.9984073638916
7,8,454.8692116737366,3641.867619037628
8,9,455.33125829696655,4097.198877334595
9,10,457.078408241272,4554.277285575867
10,11,456.90931010246277,5011.1865956783295
11,12,456.3767399787903,5467.56333565712
12,13,454.93450951576233,5922.497845172882
13,14,455.35773944854736,6377.855584621429
