,epoch,time_elapsed,total_time_elapsed
0,1,812.9525916576385,812.9525916576385
1,2,811.9407737255096,1624.8933653831482
2,3,814.9472951889038,2439.840660572052
3,4,814.449695110321,3254.290355682373
4,5,813.8747582435608,4068.165113925934
5,6,813.0335347652435,4881.198648691177
6,7,813.8197412490845,5695.018389940262
7,8,811.7702705860138,6506.788660526276
8,9,812.8893444538116,7319.678004980087
9,10,811.5456335544586,8131.223638534546
10,11,814.3035805225372,8945.527219057083
11,12,812.4083642959595,9757.935583353043
12,13,812.7459363937378,10570.68151974678
