,AP@0.00,AP@0.05,AP@0.10,AP@0.15,AP@0.20,AP@0.25,AP@0.30,AP@0.35,AP@0.40,AP@0.45,AP@0.50,AP@0.55,AP@0.60,AP@0.65,AP@0.70,AP@0.75,AP@0.80,AP@0.85,AP@0.90,AP@0.95,AP@0.5:0.95
Background,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
aeroplane,0.1098540116886327,0.10853445595235248,0.10853445595235248,0.10853445595235248,0.1059192639191204,0.10462362762216854,0.10333596447165946,0.10205627446759315,0.09826504333405092,0.09210578770700281,0.08850591208808734,0.08497779478715686,0.07592030042815796,0.07373565830283604,0.06841358305227993,0.06129754985209813,0.05272243085288748,0.03828704921823299,0.023636392629623425,0.002108897234115499,0.05696055684454757
bicycle,0.08563502225474057,0.08563502225474057,0.08563502225474057,0.08563502225474057,0.08563502225474057,0.08563502225474057,0.0808563502225474,0.0808563502225474,0.0762148649472593,0.07319675629534785,0.06734345466739833,0.05636851411499298,0.05377720870678617,0.04061490153039449,0.03220078044021706,0.02476220962136455,0.017559904883848548,0.014755197853789401,0.006409670142064508,0.00027437351381013356,0.03140662154746662
bird,0.05117068740869428,0.046723259762309004,0.045642989694792115,0.04299759150313895,0.04144825680104236,0.04043116042168437,0.037943696450428395,0.03412800568563193,0.029642673826351326,0.02669088324712757,0.021990760848106763,0.018764164725391875,0.017412247798791806,0.016110869822718837,0.01307853279109251,0.009608717968965928,0.007089667153630514,0.003488766928574249,0.0012382042879140838,1.421407983574841e-05,0.010879614640502232
boat,0.06578250385421197,0.05504209985373759,0.050476341068110844,0.04870538008459502,0.041127406411827494,0.03567616713444282,0.0334585128671384,0.029920543938016363,0.02467090959402301,0.019369885757204414,0.016701585168201763,0.014709254061746451,0.011104083488160651,0.00765308139305056,0.004569711823536388,0.003099181721152706,0.0012807842827212712,0.0010119777048661896,0.00014230936474680795,3.557734118670199e-05,0.0060307546349369495
bottle,0.05939190510330444,0.05764518021247474,0.0559245258424037,0.055073975102652675,0.05339242651371961,0.050918985856742496,0.04930261356970606,0.048504203871472334,0.04692693736557387,0.042351560972430424,0.04087857654956658,0.03661604640552695,0.031939646744443724,0.026986247800299807,0.02085641660692172,0.012934237111386299,0.008811836016424428,0.004956657759238741,0.0010558560907254122,2.9329335853483672e-05,0.018506485042038716
bus,0.10980545763154459,0.10980545763154459,0.10980545763154459,0.10605170387779084,0.0987400443922183,0.09518213866039953,0.08826217521869696,0.08324356965661314,0.07364701658179919,0.07364701658179919,0.06319362841101972,0.061765569917743825,0.056216542629586114,0.048382621752186966,0.04590188014101058,0.04348642120381251,0.03663174043608826,0.031368324846585714,0.01579840710275493,0.000816033424729077,0.04035611698655177
car,0.08633575210480103,0.08510678910290106,0.08348187585467011,0.08267529241096992,0.08067596391126408,0.07988308455519957,0.07675072166704353,0.07520803294462666,0.0736810060366506,0.0710463951886906,0.06664150987722117,0.0609875948640995,0.053947119841267516,0.04856386055895058,0.04173090457745893,0.030834686611987353,0.023046849381309388,0.015333405769225122,0.0063606543897618715,0.0007830907220390117,0.034822967659332044
cat,0.15723270440251572,0.15723270440251572,0.15723270440251572,0.14356704713098845,0.13372544452209023,0.11509045733364391,0.10062893081761005,0.08455625436757512,0.06988120195667365,0.04852861246991226,0.03105831198074385,0.025157232704402514,0.02113906359189378,0.018654398633434273,0.017470300489168412,0.013122136811864275,0.012132153117478065,0.007764577995185962,0.005609907601521857,0.0012423324792297538,0.015335041540492273
chair,0.020101794047946677,0.01980344131750335,0.019507319261680162,0.01899447322479428,0.018488458628932575,0.01784790647004385,0.016873938164026523,0.016532714655727438,0.015727998786513007,0.01374207099735414,0.011718012613907307,0.01022548216729,0.00820114494951565,0.006357701501718038,0.004785075894521435,0.0033432932955122455,0.0020622586863166792,0.0011962689736303587,0.00036136928846219803,8.434738407393125e-06,0.004825904210928131
