,Class,Mean Euclidean Distance@0.50,Mean Euclidean Distance@0.55,Mean Euclidean Distance@0.60,Mean Euclidean Distance@0.65,Mean Euclidean Distance@0.70,Mean Euclidean Distance@0.75,Mean Euclidean Distance@0.80,Mean Euclidean Distance@0.85,Mean Euclidean Distance@0.90,Mean Euclidean Distance@0.95
0,Background,,,,,,,,,,
1,aeroplane,16.618356307095002,16.431792168939662,15.515851026747033,13.738620316852701,12.73188800768048,11.794068991555259,10.861992860443955,8.967425063025672,7.431623351296817,5.332323645809491
2,bicycle,31.520272038351717,30.14167444999867,30.330184467508083,26.016989920324793,20.028316133328556,17.798702435849915,15.153860680724776,11.45646498012296,8.709491279007702,6.4929174734426
3,bird,20.488290785884395,20.695281486874304,18.75908009773509,16.913867875674654,14.471333597375919,12.239725555222625,10.526013102256435,8.67982094110335,6.888439877387373,6.205990700324894
4,boat,18.7702176326315,18.929101244160076,16.66033434433287,13.613930989484395,13.100240798726823,11.239753270288595,6.917045618372015,7.028092232272861,5.906720048768173,2.9406717071629465
5,bottle,9.205166114376686,10.057696450388237,8.762480957107995,8.25667708874759,7.337174869588997,6.114886326907054,4.200982000130072,3.6597057410568183,3.4069940012324675,2.899918815121667
6,bus,23.175425874992428,22.50171658582368,19.647740659566296,17.222352080593392,15.415347989996098,14.546542129014522,13.145965010105984,12.339681648431478,9.621485615310576,5.591807603365845
7,car,19.30664548747591,16.874721873619425,15.072964689828545,13.70168015270622,12.301598492864303,10.759613201925726,9.712212030326112,8.409096594672686,6.404680710403426,5.194140272948552
8,cat,39.52495198158692,36.653142663932535,34.43093460783605,32.949397087737104,30.784747519704453,24.35443621485463,24.460071674570642,18.59847724137581,14.559764531984504,9.107022009276864
9,chair,30.51028245920449,26.50296272707483,22.41268716733453,18.731952193564947,15.317967612580148,12.13947833873622,8.852150266071385,7.286437734632314,5.738346367804659,3.461740220960577
10,cow,11.705925126710662,10.620692764814319,9.805617603577204,8.912010836946003,7.645678371021212,7.093679463629978,5.9115192474356615,5.40685558984423,4.569895569416853,2.544542319208188
11,diningtable,54.07288261556231,49.450775596308176,43.559799611484884,39.571753021237605,35.48327420044999,29.212197942367077,23.291306656501238,18.354328413615857,12.608256473073183,7.358977436661941
12,dog,32.213536388245316,30.183597693439186,28.10759495281816,25.898156375263643,23.274774816718537,18.69196822087048,15.738072513016064,12.49103506763803,9.824421638307387,6.6514827858657455
13,horse,23.17192060511524,24.325088260937665,22.47172504602325,20.515362445647746,17.47875841285555,15.187269545049277,12.817345834590965,11.232008522612553,7.9766442648082805,5.04519195216657
14,motorbike,41.081270267785634,39.70476767615145,36.20792951977524,32.39754091831813,28.597065620904687,22.843871122830425,18.096429975984947,14.577992546491148,11.3423170494166,5.786619312053865
15,person,24.267870007097546,22.192680060128165,20.035366054240225,17.662964104957545,15.457112529040563,13.41073460840287,11.624564517398587,9.34824368258837,7.484166081166578,5.104051914951779
16,pottedplant,25.14444653752315,24.116770845659186,20.57057155594058,17.146775559124308,14.644034584994419,12.630586792883555,9.493379716919733,7.44643674981518,4.948602667658373,6.282849239130833
17,sheep,33.60935915264251,33.60935915264251,33.60935915264251,88.60751002392858,,,,,,
18,sofa,42.99307904818375,39.560437832545766,37.62705856783297,33.49367382399314,29.138012401191375,23.922247453574343,19.030288348205016,12.08776505946269,8.272771350967215,5.371218406311691
19,train,31.199442953631667,31.199442953631667,29.422949486931035,29.3603709525266,23.997139572313678,20.902402864312272,17.761290590258337,15.724312900359815,13.473041229754013,11.424881194316892
20,tvmonitor,17.83865407202468,17.375944003935015,16.865372754824147,15.697335743961517,14.371950691077998,12.47607580932056,9.746476764371517,8.916902314222334,5.160473196317977,4.53849422752894
