Class,Precision,Recall,F1 Score
Background,0.0,0.0,0.0
aeroplane,0.11523588553750967,0.7680412371134021,0.20040349697377272
bicycle,0.10173160173160173,0.6619718309859155,0.17636022514071295
bird,0.040067911714770796,0.5488372093023256,0.07468354430379748
boat,0.0526742301458671,0.3170731707317073,0.09034051424600417
bottle,0.1222707423580786,0.33432835820895523,0.17905675459632295
bus,0.10628019323671498,0.5945945945945946,0.18032786885245902
car,0.09084194977843427,0.7335984095427436,0.1616648411829135
cat,0.18867924528301888,0.1646090534979424,0.17582417582417584
chair,0.01680534491945731,0.6972789115646258,0.03281969181508905
cow,0.018612071257644244,0.5263157894736842,0.035952747817154594
diningtable,0.05015045135406219,0.5494505494505495,0.09191176470588236
dog,0.10836501901140684,0.6263736263736264,0.1847649918962723
horse,0.09797297297297297,0.453125,0.1611111111111111
motorbike,0.17124735729386892,0.50625,0.2559241706161137
person,0.12906971343644047,0.8449376710246276,0.22393231265108782
pottedplant,0.038967248386325606,0.649402390438247,0.07352277852954443
sheep,0.0,0.0,0.0
sofa,0.04061416542842992,0.5,0.07512597343105819
train,0.19937694704049844,0.44755244755244755,0.27586206896551724
tvmonitor,0.056717805671780565,0.7721518987341772,0.10567345171069727
Mean,0.0918779398188886,0.5629416920310302,0.1450138149668256
