,AP@0.00,AP@0.05,AP@0.10,AP@0.15,AP@0.20,AP@0.25,AP@0.30,AP@0.35,AP@0.40,AP@0.45,AP@0.50,AP@0.55,AP@0.60,AP@0.65,AP@0.70,AP@0.75,AP@0.80,AP@0.85,AP@0.90,AP@0.95,AP@0.5:0.95
Background,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
aeroplane,0.07138016911849879,0.07138016911849879,0.07138016911849879,0.07138016911849879,0.06957314954245339,0.06957314954245339,0.06957314954245339,0.06690605814896328,0.06602861114328738,0.06602861114328738,0.06257674041468782,0.06004865052704737,0.05675894822193907,0.04894011351789644,0.04597474805977065,0.03896675547318429,0.03567994903278119,0.023456504112127883,0.01261438665585544,0.0008369048998030812,0.03858537009150933
bicycle,0.04545329566466638,0.0446662404883179,0.0446662404883179,0.04388605915630435,0.04311275166862571,0.042346318025282,0.04008826016126039,0.03934932189525636,0.03575773823026004,0.03300820049629156,0.030368644271681823,0.027839069556430826,0.02254964634070897,0.018315358230397514,0.012788787385120876,0.00893943455756501,0.007272527306346621,0.004705146447253556,0.001113562782257233,8.59230541865149e-05,0.013397809993194894
bird,0.09483432805103931,0.06919119160321054,0.0675138917472731,0.06260547437744392,0.05943609796254374,0.054836386087672356,0.051872813336077385,0.047581806956163826,0.04214859024490636,0.03828977155793373,0.03000617410989916,0.023708582012759827,0.023708582012759827,0.021774027577690883,0.01992179460794402,0.018151883103519242,0.013336077382177403,0.00750154352747479,0.0026342868903066474,0.00016464293064416546,0.016090759415517596
boat,0.040042229501096344,0.039116428900138056,0.03820145637638396,0.037297311929834064,0.03464984705340949,0.03251806935383449,0.03086137354159335,0.02806637611326169,0.02540402263068136,0.02287431309385236,0.02014563763839636,0.01728296472753851,0.013535096505238082,0.011208413415987656,0.008880376817086706,0.007016594028315422,0.00455320646436209,0.0022752497225305215,0.0007796215587017136,6.632197287566661e-05,0.008574348285103273
bottle,0.0913100281087929,0.08551407419137733,0.08551407419137733,0.08175567784420075,0.08175567784420075,0.08082927537379415,0.07899230637264605,0.07808173984190453,0.0736080868865223,0.07098723887195323,0.06588806629980073,0.06259419084946619,0.056259814983438246,0.04668698945590351,0.034300645314541356,0.024833392718107077,0.015244731250907266,0.007696266677223959,0.0009527957031817041,4.2229172440186335e-05,0.031449912242501016
bus,0.04902927831223237,0.04902927831223237,0.04902927831223237,0.04902927831223237,0.0467924988105323,0.04533032388335093,0.0431805786035069,0.03836758613486823,0.037044665962656514,0.037044665962656514,0.03321516020099103,0.029011407285344598,0.02786255555684495,0.0261827950750235,0.023499239901129124,0.01903438431991459,0.01675698884801504,0.013414874728743342,0.00877595070381674,0.0008384296705464589,0.019859178629036935
car,0.08297232615949139,0.08186481030638791,0.08186481030638791,0.08113060046872023,0.08076473576920676,0.0789478144648433,0.0767947937246556,0.07467153824815714,0.0725780480353479,0.06983302927289661,0.06515657562216635,0.059695889954512894,0.05447415320925353,0.049491365386388264,0.04286363333825287,0.03381499317672671,0.023614189266563234,0.014302209202675402,0.00537263009590616,0.0005064228891570519,0.03492920621416024
cat,0.2376588135928262,0.2376588135928262,0.23354358725537763,0.22141355329128254,0.19812388808021994,0.16218304670512337,0.1237982281165202,0.09058889068593096,0.06469351447517387,0.03802541017485219,0.017269574280733915,0.010350962316027817,0.007924955523208798,0.005822416302765648,0.005193451578701458,0.0035222024547594656,0.003037001096195662,0.0021744209031933437,0.0008805506136898664,0.00028752673100077274,0.005646306180027674
chair,0.018906196358324752,0.018406337945014072,0.018123711233127133,0.017843271188256724,0.017357762777242044,0.0168789510339655,0.016273175937041483,0.015482695810564663,0.014585342333654773,0.012752642040422727,0.01143087016227256,0.00950714985447731,0.007852936256469802,0.006482374370513233,0.005281074178305202,0.0037737089371267635,0.00246683372802673,0.0011726685209602968,0.0004157400665184106,2.2140003542400566e-05,0.00484054960782127
cow,0.03745359248744267,0.030199981281003336,0.026222194490375314,0.022525192649673974,0.020216516394721242,0.016987489470564377,0.012229744485695566,0.009749477428009858,0.009749477428009858,0.007549995320250834,0.006239665553926309,0.0056312981624184934,0.0056312981624184934,0.0056312981624184934,0.004508158362711758,0.003509811874083549,0.002246279599413471,0.0012635322746700776,0.0002495866221570524,1.5599163884815774e-05,0.003492652793810251
diningtable,0.04968266687016687,0.04968266687016687,0.048105540293040296,0.04502759971509972,0.04427401302401302,0.04427401302401302,0.04427401302401302,0.04427401302401302,0.04205140923890924,0.039886039886039885,0.03572700447700448,0.03308150183150183,0.027501144688644688,0.020861950549450548,0.013434193121693121,0.009618564306064305,0.005087505087505087,0.0023179945054945055,0.0009189306064306065,2.8617216117216117e-05,0.014857740638990638
dog,0.09240300983420249,0.09046114436022694,0.08981843844229166,0.08853990046650596,0.08790406840865556,0.08475927741982787,0.08167176859837409,0.0768509013921858,0.07508088242033197,0.07046164844329982,0.06654011126488191,0.06380775188114637,0.055449138017945356,0.05100518747307738,0.04356308828785893,0.03389271279179536,0.030066264011218136,0.02118981935495697,0.0090746409553749,0.0005544913801794536,0.03751432054184348
horse,0.08160148261758692,0.08160148261758692,0.08160148261758692,0.08160148261758692,0.07732617586912065,0.07453987730061351,0.07045628834355828,0.06519043967280164,0.061375255623721876,0.05646728016359918,0.050619887525562374,0.04837039877300613,0.04726482617586912,0.03988369120654396,0.033128834355828224,0.027837423312883438,0.02536426380368098,0.014723926380368098,0.005751533742331289,0.0009202453987730061,0.029386503067484658
motorbike,0.11355377906976745,0.11355377906976745,0.11355377906976745,0.11355377906976745,0.11355377906976745,0.11355377906976745,0.11174418604651164,0.11174418604651164,0.10816860465116278,0.09779069767441861,0.08793604651162791,0.0801235465116279,0.06558866279069768,0.05250726744186046,0.044215116279069766,0.0336046511627907,0.021984011627906978,0.014069767441860465,0.0049127906976744184,0.00035610465116279067,0.04052979651162791
