Class,Precision,Recall,F1 Score
Background,0.0,0.0,0.0
aeroplane,0.19865771812080538,0.7628865979381443,0.3152289669861555
bicycle,0.05435897435897436,0.7464788732394366,0.10133843212237094
bird,0.23010752688172043,0.49767441860465117,0.31470588235294117
boat,0.0513413506012951,0.5414634146341464,0.0937896070975919
bottle,0.08154686843211434,0.5791044776119403,0.14296241709653648
bus,0.08448540706605223,0.7432432432432432,0.15172413793103448
car,0.13491209185504127,0.7475149105367793,0.22857142857142856
cat,0.45689655172413796,0.21810699588477367,0.2952646239554318
chair,0.014224891910624112,0.7329931972789115,0.02790818143555541
cow,0.04838709677419355,0.24812030075187969,0.08098159509202453
diningtable,0.03189205765102729,0.5714285714285714,0.06041243101945976
dog,0.2398190045248869,0.5824175824175825,0.3397435897435897
horse,0.11983887210473314,0.6197916666666666,0.20084388185654012
motorbike,0.15658362989323843,0.55,0.24376731301939059
person,0.16711717005523563,0.86470051687443,0.28010045797015803
pottedplant,0.0979381443298969,0.4541832669322709,0.16113074204946995
sheep,0.6153846153846154,0.1415929203539823,0.2302158273381295
sofa,0.045953360768175584,0.40853658536585363,0.08261405672009865
train,0.19452054794520549,0.4965034965034965,0.2795275590551181
tvmonitor,0.05672609400324149,0.6645569620253164,0.10452961672473866
Mean,0.15403459871926076,0.5585648999146038,0.1867680374068882
