,Class,Mean Euclidean Distance@0.50,Mean Euclidean Distance@0.55,Mean Euclidean Distance@0.60,Mean Euclidean Distance@0.65,Mean Euclidean Distance@0.70,Mean Euclidean Distance@0.75,Mean Euclidean Distance@0.80,Mean Euclidean Distance@0.85,Mean Euclidean Distance@0.90,Mean Euclidean Distance@0.95
0,Background,,,,,,,,,,
1,aeroplane,,,,,,,,,,
2,bicycle,,,,,,,,,,
3,bird,,,,,,,,,,
4,boat,,,,,,,,,,
5,bottle,,,,,,,,,,
6,bus,,,,,,,,,,
7,car,,,,,,,,,,
8,cat,13.024310770629913,13.024310770629913,13.024310770629913,13.024310770629913,13.445367419559044,,,,,
9,chair,,,,,,,,,,
10,cow,20.717746397524078,17.98696168985121,16.19334971390518,12.869260903991233,8.266580416982189,5.85889774942553,5.345537724345248,3.1724210347255433,3.3380199925122893,
11,diningtable,,,,,,,,,,
12,dog,,,,,,,,,,
13,horse,,,,,,,,,,
14,motorbike,,,,,,,,,,
15,person,,,,,,,,,,
16,pottedplant,,,,,,,,,,
17,sheep,8.973164786933339,8.973164786933339,8.973164786933339,8.973164786933339,8.973164786933339,8.973164786933339,8.973164786933339,8.973164786933339,8.973164786933339,
18,sofa,,,,,,,,,,
19,train,,,,,,,,,,
20,tvmonitor,,,,,,,,,,
