,AP@0.00,AP@0.05,AP@0.10,AP@0.15,AP@0.20,AP@0.25,AP@0.30,AP@0.35,AP@0.40,AP@0.45,AP@0.50,AP@0.55,AP@0.60,AP@0.65,AP@0.70,AP@0.75,AP@0.80,AP@0.85,AP@0.90,AP@0.95,AP@0.5:0.95
Background,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
aeroplane,0.2957557906011514,0.2957557906011514,0.2957557906011514,0.2957557906011514,0.2957557906011514,0.29261782032400585,0.2894965858883385,0.28639208729414917,0.2802332976302048,0.2711206319453742,0.2681165484000536,0.2681165484000536,0.25626757263355204,0.2533471682956219,0.24468637033070023,0.24468637033070023,0.24183290935868257,0.24183290935868257,0.23058642388539294,0.17593553353862634,0.2425408354532066
bicycle,0.44760041731872713,0.440792905581638,0.440792905581638,0.440792905581638,0.440792905581638,0.440792905581638,0.440792905581638,0.4273343766301513,0.4140845070422535,0.4075378195096505,0.4075378195096505,0.3818727177882107,0.3631716223265519,0.35096504955659885,0.3449400104329682,0.33304642670839857,0.3155972874282733,0.3042253521126761,0.2930620761606677,0.22076160667709963,0.3315179968701095
bird,0.6388913266052362,0.6388913266052362,0.6388913266052362,0.6388913266052362,0.6388913266052362,0.6388913266052362,0.6388913266052362,0.6327921603042269,0.6327921603042269,0.6327921603042269,0.6267222465993857,0.6146701769782068,0.590917068889864,0.5792160304227,0.5618838671932134,0.5504753546877285,0.5280093608307738,0.5280093608307738,0.5060114085125055,0.43775047535468775,0.5523665350299839
boat,0.14537959464101685,0.14380367571281347,0.14223634489866027,0.14223634489866027,0.1406776021985572,0.1391274476125043,0.13758588114050155,0.13605290278254897,0.1345285125386465,0.13150549639299208,0.12409824802473376,0.12409824802473376,0.12119546547578151,0.1183270353830299,0.11269323256612848,0.1018378564067331,0.09661628306423908,0.08904156647200274,0.07942287873582961,0.05678890415664721,0.10241197183098591
bottle,0.5930937418172296,0.5852382822728462,0.5813301911495156,0.5813301911495156,0.5813301911495156,0.5774351924587589,0.5735532862005761,0.5735532862005761,0.5696844723749672,0.5619861220214717,0.5505367897355328,0.5317164179104478,0.4986645718774548,0.4772191673212883,0.46667321288295366,0.4290128305839225,0.3961508248232522,0.3739264205289343,0.28868813825608797,0.16549489395129616,0.417808326787117
bus,0.2436120330857173,0.2436120330857173,0.2436120330857173,0.2436120330857173,0.2436120330857173,0.2436120330857173,0.2436120330857173,0.24004267425320056,0.24004267425320056,0.2364996575522891,0.23298298298298298,0.23298298298298298,0.22949265054528212,0.22259101206469628,0.20910384068278803,0.20910384068278803,0.2057979031663242,0.19283757441652177,0.16521784942837575,0.13703176861071598,0.20371424055634582
car,0.3667257538512766,0.3636375507219409,0.3636375507219409,0.3605624055339555,0.3605624055339555,0.3544512889820355,0.34990222866413995,0.3453825487142824,0.340892249132463,0.340892249132463,0.33643132991868163,0.3290617542691307,0.3232248544855661,0.3117077502146399,0.2934380580229624,0.278409999771486,0.2508169374557254,0.2332213614862549,0.19767111616018174,0.12796782523251296,0.2681950987017142
cat,0.40165289256198344,0.40165289256198344,0.40165289256198344,0.40165289256198344,0.3983539094650206,0.3983539094650206,0.3983539094650206,0.3983539094650206,0.3983539094650206,0.3983539094650206,0.3950685304220658,0.38853858449818046,0.3852940176172499,0.38206305479032754,0.3788456960174132,0.3692752440227188,0.362962962962963,0.3474203312587151,0.33825800088426355,0.3173553719008264,0.3665081794374724
chair,0.5184685581549694,0.5147652231624358,0.5073983739837399,0.5037348597975776,0.5019080803052929,0.49644765223162435,0.4910170897627344,0.4766815994690559,0.46606935457109677,0.46080803052928493,0.4486477517836403,0.44177202588352416,0.4315579890492782,0.41314252530280404,0.3886776173884188,0.36495934959349596,0.32708810353409656,0.30536087605774015,0.26414634146341465,0.17959349593495935,0.3564946075991372
cow,0.06768447837150127,0.06768447837150127,0.06768447837150127,0.06768447837150127,0.06768447837150127,0.06768447837150127,0.06768447837150127,0.06768447837150127,0.06566416040100251,0.06566416040100251,0.06466548049513095,0.05978687175955155,0.05788899730241635,0.056021733723622034,0.05148749736937764,0.05060360825728444,0.04714457900476382,0.04463066062101819,0.04059385103981327,0.03168608544261417,0.05045093650155924
diningtable,0.3465440809190809,0.3465440809190809,0.3465440809190809,0.3465440809190809,0.3465440809190809,0.3419080919080919,0.33730332167832167,0.33272977022977024,0.31474775224775225,0.30594405594405594,0.29726523476523475,0.2887112887112887,0.26787275224775225,0.2637987012987013,0.21734515484515485,0.19232330169830172,0.16560002497502496,0.1075330919080919,0.07868693806193806,0.03902347652347653,0.1918159965034965
dog,0.6337205651491365,0.6337205651491365,0.6337205651491365,0.6337205651491365,0.6337205651491365,0.6300837257980115,0.6264573521716378,0.619236002093145,0.6156410256410256,0.6120565149136578,0.6013657770800628,0.5907692307692308,0.5837571951857666,0.5767870225013082,0.5629722658294086,0.5527210884353742,0.5358451072736787,0.5325013082155939,0.5225327053898483,0.48360020931449504,0.5542851909994767
horse,0.2564589665653495,0.2564589665653495,0.2564589665653495,0.2564589665653495,0.2564589665653495,0.2564589665653495,0.2564589665653495,0.2564589665653495,0.2536173378926038,0.2536173378926038,0.2536173378926038,0.24518743667679835,0.22875506585612967,0.20773176291793313,0.1951066995947315,0.1828774062816616,0.16872467071935157,0.15960612968591692,0.14425816869300911,0.11398176291793313,0.18998464412360688
motorbike,0.3256338028169014,0.3256338028169014,0.3256338028169014,0.3256338028169014,0.3256338028169014,0.3256338028169014,0.3256338028169014,0.3256338028169014,0.3256338028169014,0.320862676056338,0.3067605633802817,0.30213028169014083,0.2975352112676056,0.2839612676056338,0.2663556338028169,0.26204225352112676,0.24514084507042255,0.2208450704225352,0.18677816901408453,0.1332570422535211,0.2504806338028169
person,0.41702029508385086,0.41702029508385086,0.41702029508385086,0.41624239325707063,0.4133962997678035,0.41210584855004684,0.4103026058682387,0.40670798208530134,0.402619206465094,0.39551355480114825,0.3867204520763092,0.3767922283568919,0.362383756509345,0.3458895023558552,0.3316275654097587,0.3151801523962975,0.2930304660261736,0.2668929888536646,0.2323901520799887,0.1599328795915614,0.3070840143655846
pottedplant,0.5929880478087649,0.5929880478087649,0.5929880478087649,0.5929880478087649,0.5929880478087649,0.5929880478087649,0.5929880478087649,0.5929880478087649,0.5929880478087649,0.5881374501992033,0.578496015936255,0.5500498007968128,0.5314840637450199,0.5177689243027888,0.5087250996015935,0.4820717131474104,0.4604083665338645,0.44343625498007966,0.3865438247011952,0.2878486055776892,0.47468326693227086
sheep,0.5160611506699729,0.5160611506699729,0.5160611506699729,0.5160611506699729,0.5160611506699729,0.5160611506699729,0.5112268808153422,0.5016265896216757,0.5016265896216757,0.4873967741201629,0.47802397797847895,0.47337170416543434,0.4595513797574903,0.44144277361967377,0.4063175375935573,0.3685419842118434,0.35234433651068087,0.31723047523716363,0.26976363264099007,0.17208863207225242,0.37386764337875655
sofa,0.4942038393767968,0.4942038393767968,0.4942038393767968,0.4942038393767968,0.4942038393767968,0.4942038393767968,0.4942038393767968,0.4807567467309654,0.4741027543355281,0.4415283316331262,0.4288231475470648,0.41630344060094593,0.3978716498191598,0.356487062969489,0.33385885189650377,0.33385885189650377,0.3228229620699249,0.28053417416303444,0.2507650932022628,0.17954187146434203,0.3300867105629231
