,Class,Mean Euclidean Distance@0.50,Mean Euclidean Distance@0.55,Mean Euclidean Distance@0.60,Mean Euclidean Distance@0.65,Mean Euclidean Distance@0.70,Mean Euclidean Distance@0.75,Mean Euclidean Distance@0.80,Mean Euclidean Distance@0.85,Mean Euclidean Distance@0.90,Mean Euclidean Distance@0.95
0,Background,,,,,,,,,,
1,aeroplane,4.548096593544389,4.421164432558351,3.4549965500243602,3.177987100416402,2.401863845879647,2.401863845879647,2.3388599289966927,2.3388599289966927,2.113029088087801,1.8391091715550332
2,bicycle,11.023749974153995,9.638479524771006,8.06145076963129,5.9377783313660455,4.579976544108443,4.032345510091171,2.7018265475826837,2.4435751076818013,2.299117962411995,1.9568346173678683
3,bird,5.738495607988236,4.84763972584531,3.1726868694002093,2.9263444539169976,2.102866011999496,1.748984413270494,1.3220476353951742,1.3220476353951742,1.1562114306297862,1.0717694064967975
4,boat,5.395592471524009,5.478122686736781,5.290274263790466,5.113490995757559,4.201506758635852,2.9445522799712394,2.6042196668616784,1.9055642052755721,1.8043356229667562,1.7509044819731006
5,bottle,3.9743200718816922,3.715380754865705,2.9048664862953295,2.7157123114830304,2.636125035409512,1.9234983934801884,1.6250921820522335,1.2147484686759489,1.0910720812992707,0.931702144295035
6,bus,4.78121774424918,4.524246640928832,3.9577342118324954,3.5979965648544363,2.788319004965902,2.788319004965902,2.456194023695111,2.168330918321654,1.798166791560631,1.6864723136324307
7,car,6.684734959770526,6.226639906747339,5.331521009190716,4.647858838326207,3.8090184261866877,3.362943770662381,2.289007124688043,2.012309633487427,1.4721086175421267,1.2509025187812097
8,cat,8.22271107377481,7.141328475473345,5.289569914825717,4.490924433777863,4.139364247537578,3.3986193426619384,2.872921770928277,2.257401919930928,1.984121793599358,1.774005466215982
9,chair,8.38351298149109,8.12460178317268,7.166137141194604,6.483350931748015,5.212314747317877,4.2809938514636405,2.788441622147551,2.4844177929508713,1.8740267604594432,1.3860633422781161
10,cow,11.012958034264097,9.12747482759977,7.344981700922995,5.911760457588404,4.648094172751122,3.9256866542134086,2.762245850760616,2.1868182271769734,1.852477896376008,1.4789229675776845
11,diningtable,25.15594016527093,24.50867786919533,20.93005472587195,20.45328397843087,16.426435016747195,14.826355914019857,12.780107331947448,7.963683366236367,5.912590265048593,2.6087677340878765
12,dog,6.030655358815616,4.773094919989092,4.357549762661728,3.534091343532028,2.991651472671529,2.7958032658956795,2.398796150171684,2.1407966942961605,2.0649445366582886,1.6928625561869404
13,horse,10.044589079175719,9.549002339069832,7.252733082469135,6.098955834425156,4.930142900256903,3.858889481894992,3.169538203901243,2.670710779472123,2.271950755565882,1.9152661763534367
14,motorbike,13.369334698997992,12.531493210928799,12.19919333145248,10.276554486450403,7.706282377207284,7.466939314224816,6.4499915103039775,4.382818314219082,3.630916944281723,2.773119646187307
15,person,9.072522336750005,8.072838167964205,6.7862738329359775,5.650429356068987,4.8115225169643105,4.185625628004989,3.3584110396970233,2.6838747307112776,2.133578378200041,1.6328786904754196
16,pottedplant,6.11895664402721,5.092499076150714,4.24604326614977,3.0060299864405144,2.7858456617555585,2.1906363127792874,2.0210759712453608,1.8707124976571314,1.602520574494511,1.4763013208936424
17,sheep,7.742917798941283,6.146987971814727,5.245225031130555,4.72546293742988,3.802637575595578,2.6393926632032043,2.419216746962356,2.067745510285314,1.5379001836806647,1.2544375193190938
18,sofa,17.018134994297785,16.198350707775525,13.862458919425457,10.249527729309573,8.881650150499588,8.881650150499588,8.020715474574784,5.893550193076215,4.486971961832967,2.272273204711777
19,train,3.9406077437740485,3.9406077437740485,3.9406077437740485,3.0229626230738686,3.0229626230738686,3.0229626230738686,2.819511407371843,2.3202094437832717,2.3362650308195785,2.0073403560289855
20,tvmonitor,3.7113125587910445,2.542302012134935,2.542302012134935,2.250479297062018,2.250479297062018,2.250479297062018,2.2143696434927875,2.119997706421682,1.4931885879014481,1.3321053091245332
