Class,Precision,Recall,F1 Score
Background,0.0,0.0,0.0
aeroplane,0.2905844155844156,0.9226804123711341,0.44197530864197543
bicycle,0.46296296296296297,0.8802816901408451,0.6067961165048544
bird,0.6509433962264151,0.9627906976744186,0.7767354596622889
boat,0.14964788732394366,0.8292682926829268,0.2535421327367636
bottle,0.6359649122807017,0.8656716417910447,0.7332490518331225
bus,0.25925925925925924,0.8986486486486487,0.40242057488653554
car,0.3727422003284072,0.9025844930417495,0.5276002324230099
cat,0.39834710743801655,0.9917695473251029,0.5683962264150944
chair,0.5073170731707317,0.8843537414965986,0.6447613143211407
cow,0.06615776081424936,0.9774436090225563,0.12392755004766444
diningtable,0.39204545454545453,0.7582417582417582,0.5168539325842696
dog,0.6457142857142857,0.9313186813186813,0.7626546681664792
horse,0.27203647416413373,0.9322916666666666,0.42117647058823526
motorbike,0.37183098591549296,0.825,0.512621359223301
person,0.410828025477707,0.9413195500152022,0.5720092378752887
pottedplant,0.6025,0.9601593625498008,0.7403993855606759
sheep,0.5269922879177378,0.9070796460176991,0.6666666666666666
sofa,0.5171102661596958,0.8292682926829268,0.6370023419203747
train,0.45806451612903226,0.993006993006993,0.6269315673289183
tvmonitor,0.5968992248062015,0.9746835443037974,0.7403846153846153
Mean,0.42939742481094223,0.9083931134499276,0.5638052106385637
