,epoch,time_elapsed,total_time_elapsed
0,1,474.79172253608704,474.79172253608704
1,2,474.92241883277893,949.714141368866
2,3,476.5537688732147,1426.2679102420807
3,4,476.37087655067444,1902.6387867927551
4,5,474.8834979534149,2377.52228474617
5,6,474.9101061820984,2852.4323909282684
6,7,474.8707947731018,3327.3031857013702
7,8,474.5911774635315,3801.8943631649017
8,9,474.2029287815094,4276.097291946411
9,10,474.77491307258606,4750.872205018997
10,11,474.1059286594391,5224.978133678436
11,12,475.3954749107361,5700.373608589172
12,13,475.74908566474915,6176.1226942539215
13,14,474.6115550994873,6650.734249353409
14,15,474.7258667945862,7125.460116147995
15,16,474.50993061065674,7599.970046758652
