,epoch,train_loss,val_loss,classification_train,bbox_regression_train,bbox_ctrness_train,classification_val,bbox_regression_val,bbox_ctrness_val
0,1,0.9862883579543124,0.830487087343954,0.37733533571408495,0.08086656118167265,0.5280864621164234,6.0244492487981915e-05,6.0244492487981915e-05,6.0244492487981915e-05
1,2,0.8518031470467806,0.7988686957359429,0.265345517033089,0.060709117074276654,0.525748512672104,2.5836047522413235e-05,2.5836047522413235e-05,2.5836047522413235e-05
2,3,0.845406432717273,0.7901972211411703,0.2614963307352546,0.05824639708344036,0.525663704931281,5.993559413279096e-05,5.993559413279096e-05,5.993559413279096e-05
3,4,0.7890749458356549,0.8017993166915858,0.2124603662943447,0.05187527660052967,0.5247393027061724,2.227061486337334e-05,2.227061486337334e-05,2.227061486337334e-05
4,5,0.729302536660574,0.6601705207789337,0.15619987362334187,0.048786909041485485,0.5243157548303823,3.135506024894615e-06,3.135506024894615e-06,3.135506024894615e-06
5,6,0.6903318145873562,0.6404240382309373,0.11968977852428567,0.04648429335997874,0.5241577423710859,4.287700600495252e-06,4.287700600495252e-06,4.287700600495252e-06
6,7,0.6683833462106733,0.620555462683356,0.1010583950987442,0.04338759406405778,0.5239373572682606,2.732247897559622e-06,2.732247897559622e-06,2.732247897559622e-06
7,8,0.652307317674983,0.6026222835489344,0.0864181875014404,0.04222211732194965,0.5236670140091699,1.7123935928490634e-06,1.7123935928490634e-06,1.7123935928490634e-06
8,9,0.632413488355323,0.596117240134807,0.06928293625592823,0.039636609922269826,0.523493942959618,1.9159306248184294e-05,1.9159306248184294e-05,1.9159306248184294e-05
9,10,0.627105315496271,0.5911161481233952,0.06547122474748486,0.03838627105081127,0.5232478196156843,3.8088195045323423e-06,3.8088195045323423e-06,3.8088195045323423e-06
10,11,0.6202402585754357,0.5951688405739196,0.05951435869130333,0.037425001535052786,0.5233008980068542,4.7646127162200475e-07,4.7646127162200475e-07,4.7646127162200475e-07
11,12,0.623577533621973,0.5825107193897061,0.06509840522483028,0.03540728427611917,0.5230718441364419,4.561294038770332e-07,4.561294038770332e-07,4.561294038770332e-07
12,13,0.613288040428942,0.5958039810043374,0.05398703950403131,0.03634767881061398,0.5229533226890418,1.2279063715444257e-05,1.2279063715444257e-05,1.2279063715444257e-05
13,14,0.6063978235383828,0.5951790069717866,0.04815470815958668,0.035225436029571844,0.523017679985243,6.634308344170373e-07,6.634308344170373e-07,6.634308344170373e-07
14,15,0.5988174601454518,0.5688322902769976,0.0424170780158195,0.03360198185644077,0.5227984004803287,1.0430953049459883e-06,1.0430953049459883e-06,1.0430953049459883e-06
15,16,0.5960907808682895,0.5873047911428037,0.040559087782168685,0.032694565500523756,0.5228371275972774,2.3532741882566674e-06,2.3532741882566674e-06,2.3532741882566674e-06
16,17,0.5878418841384146,0.568835136483545,0.033920152397792565,0.03124047686552046,0.5226812547399797,1.1568971179561534e-06,1.1568971179561534e-06,1.1568971179561534e-06
17,18,0.589914975107641,0.5660988754125592,0.03664309003890962,0.03067969085207877,0.5225921952769956,7.545425736073715e-07,7.545425736073715e-07,7.545425736073715e-07
18,19,0.5802270575006416,0.6010084834764106,0.027788427204835722,0.0298736511598135,0.522564979318444,8.483336083979035e-07,8.483336083979035e-07,8.483336083979035e-07
19,20,0.5908570454948494,0.5690920009522387,0.03762136769247777,0.03068659262703234,0.5225490851484182,1.4009471366686437e-06,1.4009471366686437e-06,1.4009471366686437e-06
20,21,0.5831016813299427,0.5938259391659054,0.031467147955671404,0.029121052848445322,0.5225134805641102,1.7062615370377898e-05,1.7062615370377898e-05,1.7062615370377898e-05
21,22,0.5804767966072658,0.5723639894143749,0.029394923846889676,0.028699015064577338,0.5223828582135776,2.611142311555644e-06,2.611142311555644e-06,2.611142311555644e-06
22,23,0.5835380791488961,0.5739322443897255,0.03300638449630069,0.028094773999066982,0.5224369215601273,2.858754442058853e-07,2.858754442058853e-07,2.858754442058853e-07
23,24,0.5790413003456781,0.5802099801731325,0.028174171449952875,0.0283913585101432,0.5224757707755984,5.7212770722496016e-06,5.7212770722496016e-06,5.7212770722496016e-06
24,25,0.5796284571384251,0.5808070805696662,0.029393002231038082,0.027804116431964947,0.5224313388571484,2.1713221561488658e-07,2.1713221561488658e-07,2.1713221561488658e-07
25,26,0.5746596165830169,0.5702526308149535,0.02490868919050603,0.02739874563919281,0.5223521807266556,2.561277142376639e-06,2.561277142376639e-06,2.561277142376639e-06
