,AP@0.00,AP@0.05,AP@0.10,AP@0.15,AP@0.20,AP@0.25,AP@0.30,AP@0.35,AP@0.40,AP@0.45,AP@0.50,AP@0.55,AP@0.60,AP@0.65,AP@0.70,AP@0.75,AP@0.80,AP@0.85,AP@0.90,AP@0.95,AP@0.5:0.95
Background,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
person,0.16152827689597452,0.15923120071428792,0.15881531789943354,0.15819251333099685,0.15798518371587658,0.15746745447615207,0.15550783273441982,0.15407175225932773,0.1519301223062891,0.14879606326605424,0.14361227907266358,0.13591278791901887,0.12508380917321046,0.10852055211740552,0.08733826314441295,0.06462056241760879,0.040513158471422644,0.01750788137190822,0.0034566435282850872,5.915691723226724e-05,0.07266250941331684
chair,0.03413226048973735,0.032960983695786636,0.03257510233366708,0.031810155963224,0.030431359064816452,0.02993755210092647,0.028962056135450543,0.027883936176712205,0.026826265279361952,0.024549098196392786,0.023015166134738613,0.020500688956648496,0.018323495062687732,0.013580196422070645,0.00982577399697354,0.006165139550958808,0.0033537722964194954,0.0012622877400050793,0.00022266755733689602,6.185209926024889e-06,0.009625537292776534
car,0.1122338869123635,0.10830477930217867,0.10830477930217867,0.10684941246605649,0.1054038902759509,0.10492423724503051,0.10254237983378957,0.10206928990021358,0.09972024797569466,0.09786070372811274,0.09328841257817606,0.08970933682635958,0.08276120443774766,0.07048821240370705,0.05919968497132747,0.04226853459709419,0.027934729996909876,0.015436404954044646,0.003677522211982575,0.00015806126104446225,0.04849221042383936
dog,0.19656938805874977,0.19656938805874977,0.19512668182880952,0.19512668182880952,0.19225721087423214,0.1908304461495951,0.1851765256020575,0.1809918804599656,0.17960762641613706,0.16738846260122855,0.15948147597083767,0.14923640189597637,0.13811720194698918,0.11384626012285587,0.09093300316704571,0.06383244415159307,0.036994919973643375,0.01228558675367186,0.0005207558399047761,0.0,0.07652480498225177
bottle,0.11633402076269705,0.10923136076059982,0.10923136076059982,0.10923136076059982,0.10923136076059982,0.10235240658534027,0.09899681918277464,0.09733999790275785,0.09245342374777168,0.09245342374777168,0.09085252892446434,0.08613373413960641,0.07561256947114543,0.06442727812926002,0.05291341885420672,0.03045195567828306,0.01479254779964347,0.00671816561221993,0.0008458876577300849,6.990807088678388e-06,0.04227550770736481
cat,0.19912627691672413,0.19912627691672413,0.19912627691672413,0.19912627691672413,0.19912627691672413,0.1971977044826405,0.19527851682925798,0.19146829586459638,0.18396047130368678,0.17842814308036659,0.17660280323399544,0.1640881981690293,0.15034887922256476,0.12775032729422695,0.10002299271271779,0.07099117361375058,0.045990117825921696,0.02299271271778557,0.0034207525655644243,1.8769561402273935e-05,0.08622267269169588
bird,0.15143320713899405,0.1450127482036622,0.1450127482036622,0.1450127482036622,0.14080970408715135,0.14080970408715135,0.14080970408715135,0.13258904427103452,0.12857142857142856,0.12461562234412424,0.11311906049602102,0.10396353241134206,0.09519431352854825,0.08356640655180406,0.0625820907054006,0.04462643900177702,0.0306652244456463,0.011751525921347447,0.0017383914084833502,3.090473615081511e-05,0.05472378892065209
pottedplant,0.09805702315529893,0.09354926384312996,0.09243889665961776,0.08914756945595322,0.08806371850368906,0.08485193999376868,0.08274389960954849,0.08169982300415642,0.07860736753485227,0.07457690038514826,0.06683416086071688,0.058630701818350554,0.047729216246494885,0.033811509370173215,0.02016559386414409,0.010394362649236663,0.004786179740273515,0.0006496476655772915,5.303246249610543e-05,0.0,0.02430544046774632
sheep,0.2819769488979132,0.278350273467759,0.278350273467759,0.278350273467759,0.2747470716649844,0.2747470716649844,0.2711673434895895,0.26761108894157415,0.26407830802093846,0.25708316706180606,0.23666111124152014,0.22676697730100231,0.21390342949696017,0.1893030680030985,0.15793056501021105,0.12451585643529495,0.07700523461890565,0.025926621440811246,0.002640783080209385,4.6947254759277946e-05,0.12547005938827727
boat,0.10792143319663285,0.10364774444204619,0.10224236755641893,0.10224236755641893,0.10224236755641893,0.098083794997242,0.098083794997242,0.098083794997242,0.09002566131856009,0.08231287622610739,0.07981869199222967,0.07256637168141593,0.061246612466124666,0.04990287071012303,0.03304314459073794,0.024179197544187826,0.0076744130273161135,0.0019186032568290284,0.00023502889896155602,0.0,0.03305849341679258
mAP,0.14593127224250854,0.14259840194049242,0.14212238049288708,0.1415089359950204,0.1400298143420444,0.13812023117828315,0.13592688725012814,0.13338089037775805,0.12957809224747208,0.12480644606371125,0.11832856905053635,0.110750873111875,0.1008320731052473,0.0855196681124725,0.0673954531017178,0.0482045665639785,0.028971029819610222,0.011644943743420032,0.001681146521095424,3.270157476037998e-05,0.05733610247047134
