,Class,Mean Euclidean Distance@0.50,Mean Euclidean Distance@0.55,Mean Euclidean Distance@0.60,Mean Euclidean Distance@0.65,Mean Euclidean Distance@0.70,Mean Euclidean Distance@0.75,Mean Euclidean Distance@0.80,Mean Euclidean Distance@0.85,Mean Euclidean Distance@0.90,Mean Euclidean Distance@0.95
0,Background,,,,,,,,,,
1,person,25.49086449571161,23.96124790371488,22.04872957388026,19.88478241438624,17.897125401307274,15.788588483964908,13.461897159809673,11.056841689760681,8.216956224179649,5.460610061347818
2,chair,28.743815679719187,25.757419377911468,23.28580003585859,19.77902978766687,15.72861813302243,13.026637682416093,10.765113006739785,7.978628687026789,6.874112266186618,4.571291934203642
3,car,18.615948935090415,17.653704722046918,16.214669737630274,14.424354139409495,13.792462424061288,13.034964145557764,11.633263994427777,10.727878872030148,8.217133179582346,5.629102654289456
4,dog,36.66308865446105,34.625062542522485,32.27617984922265,29.704370161655206,26.253899783285565,23.810611372931575,20.291909438549958,17.38900438258463,11.981102402222318,4.242482236266424
5,bottle,10.605340766556505,10.033018518634435,9.587228208892501,9.611639815018792,8.589182155372146,7.817749039627515,7.112890210018712,7.408052490704063,6.165561694265509,4.912205272367938
6,cat,45.115442813994605,43.10124540154018,38.64024069931869,34.08812215054049,28.934994214220172,23.644991655334024,19.87746391201166,16.691182252504362,14.2276832864295,7.391653979277635
7,bird,25.58933796099793,23.508655790933464,22.10090006094527,19.008285434684044,16.625810424847824,14.092968824445208,11.93133512623117,9.714846822260132,6.015232945221907,3.706268112222342
8,pottedplant,21.97481457187423,18.969657100626186,16.80500180620571,13.904561885784926,11.949951666200057,9.296773896623945,8.0419942062486,5.860550095487724,6.806775941174419,
9,sheep,12.98298073494879,13.049224112140715,12.647109897425237,12.409221850933942,12.216292559356178,11.287173205109246,11.066166941637809,10.102774915989848,3.7947089544218633,1.59847108781177
10,boat,28.917045509141353,27.651675779559195,26.165202048818845,22.53111360107177,20.685704672644928,18.9406210467724,15.558508242699878,12.061012490681751,7.2775495395656185,
