Class,Precision,Recall,F1 Score
Background,0.0,0.0,0.0
person,0.162483930467833,0.883855275159623,0.2745042492917847
chair,0.031693015660951535,0.7261904761904762,0.060735367328070555
car,0.11361760660247593,0.8210735586481114,0.19961333977767037
dog,0.2369439071566731,0.6730769230769231,0.35050071530758226
bottle,0.26697892271662765,0.3402985074626866,0.2992125984251969
cat,0.22120866590649943,0.7983539094650206,0.3464285714285714
bird,0.2009966777408638,0.5627906976744186,0.2962056303549572
pottedplant,0.11813643926788686,0.5657370517928287,0.19545767377838955
sheep,0.376657824933687,0.6283185840707964,0.4709784411276948
boat,0.12684365781710916,0.6292682926829268,0.21112929623567925
Mean,0.18555606482706075,0.662896327622381,0.27047658830555965
