,AP@0.00,AP@0.05,AP@0.10,AP@0.15,AP@0.20,AP@0.25,AP@0.30,AP@0.35,AP@0.40,AP@0.45,AP@0.50,AP@0.55,AP@0.60,AP@0.65,AP@0.70,AP@0.75,AP@0.80,AP@0.85,AP@0.90,AP@0.95,AP@0.5:0.95
Background,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
person,0.107744680010626,0.10679866670225124,0.10659649227203963,0.106125496827248,0.1056555442317727,0.10525355774429053,0.10438521542734241,0.10318883315249475,0.10213117111935657,0.10035872101043841,0.09834281879275762,0.09361334816477887,0.08710261641529103,0.07563377464588136,0.060631780675423276,0.04502607272269271,0.029006119482353435,0.01402423760585293,0.0037672931552010496,9.006812870735592e-05,0.05072381297889398
chair,0.03029126469313526,0.028745746802768982,0.028278344072581514,0.026785744216729277,0.025998797970437734,0.025333611093152502,0.02446010435149068,0.02349572704829908,0.022343382970928603,0.021119324181626188,0.01896476999810836,0.017379264271706572,0.014750123914402087,0.011505482164706786,0.00796931232894425,0.004933708787985451,0.0027298282917531673,0.0008854791476604722,0.0001639022381215774,2.9931014996635756e-06,0.007928486424488838
car,0.1253105969859079,0.11921907043543158,0.11758408539300474,0.11596038908504806,0.11542166559005587,0.11434798151156154,0.111685721632351,0.10957849119792286,0.10801123856231694,0.1069726749910631,0.10286859285924829,0.09686298612112812,0.09392791515888894,0.08082796595819405,0.06665119691942978,0.050940414296555055,0.03404745031388953,0.015067324758076149,0.002899950454998714,5.079930511567817e-05,0.05441445961455242
dog,0.12478614545337165,0.12478614545337165,0.12478614545337165,0.12478614545337165,0.12327360008853924,0.12327360008853924,0.12177027756129728,0.11953258659091644,0.11953258659091644,0.11658127856197516,0.1151194588038902,0.11222348780049159,0.10794870257732198,0.09762488874952156,0.07913655794478287,0.06205125130849008,0.04161805462686705,0.023574725735867153,0.005488741221011468,0.00019483244409807565,0.06449807012123422
bottle,0.07838143517863995,0.07523074748045967,0.0744531739139216,0.07291014481045381,0.07214468927352413,0.07138327307979724,0.0698725587219518,0.0698725587219518,0.06543735988528265,0.0647122977803809,0.06185244279280189,0.0590572172964676,0.05041908185729,0.041879910326580894,0.03360935511885767,0.023557449558701756,0.011665623169672611,0.004089834992830166,0.00029083271060125626,0.0,0.028642174782380386
cat,0.21610214202806796,0.20609106257254406,0.20280679539938798,0.20280679539938798,0.20280679539938798,0.19631740002110373,0.19311227181597554,0.17141500474833807,0.15670834652316135,0.14820090746016673,0.1372269705603039,0.12667510815658964,0.11903819774190143,0.09983380816714149,0.08653846153846154,0.05920913791284162,0.03566529492455418,0.019046111638704233,0.004761527909676058,0.00021103724807428512,0.06882056557982483
bird,0.10469939396481222,0.10076121374798162,0.09817770042149851,0.09689852580367815,0.09562773921613857,0.09436534065887978,0.09436534065887978,0.09186570763520457,0.08939962673265249,0.08817916832679765,0.08338121500618617,0.07530773586092647,0.06448717679870825,0.055465850231719335,0.04363453352066601,0.02486631576739992,0.013152431480277643,0.004030448549919265,0.0003397152263719672,0.0,0.03646654224421751
pottedplant,0.07487015165908135,0.06990779468129853,0.06909727637492734,0.06669407778140109,0.0659024636920881,0.06433341367625584,0.06355597774973652,0.06201528405949157,0.05899060933017633,0.05175974630540708,0.04832154182794327,0.04435165624571701,0.035750237484226795,0.029641812347289367,0.016673519445350272,0.011250372176773334,0.005444414512767435,0.001987305818245405,0.0003993515853549031,2.1267244190497793e-05,0.019384147868785832
sheep,0.17361094809980984,0.17361094809980984,0.17361094809980984,0.17361094809980984,0.17361094809980984,0.17361094809980984,0.17159808455200581,0.1676075678974672,0.1676075678974672,0.16562991479073264,0.155917701462407,0.14649890847632682,0.13203915401046923,0.110144128072111,0.08591934461632357,0.062257928217647474,0.040427454754583224,0.010850684256238115,0.00037557803807422357,5.868406844909743e-06,0.07444367503110257
boat,0.10534782196070988,0.10253867324665464,0.09976748600170826,0.09976748600170826,0.09300559931669355,0.0890623517130113,0.08393755338331595,0.08143209642213153,0.0765350669070893,0.07178988326848249,0.07178988326848249,0.06719654550631109,0.06166840656733416,0.04745183638606814,0.028869697257283854,0.016517984245990318,0.005485432286229478,0.002092625984625605,0.00023251399829173392,4.7451836386068145e-06,0.03013096706842555
mAP,0.1141144580034162,0.11076900692225718,0.10951584474022509,0.10863457534788361,0.10734478428784477,0.10572814776864015,0.10387431058543468,0.10000038574742179,0.0966696956519348,0.09353039166770702,0.08937853953721292,0.08391662579004437,0.0767131612525834,0.0650009457049214,0.0509633759365523,0.03606106349950777,0.021924210384294773,0.009564877848801948,0.001871940653770295,5.816110621690729e-05,0.04354529017139061
