,Class,Mean Euclidean Distance@0.50,Mean Euclidean Distance@0.55,Mean Euclidean Distance@0.60,Mean Euclidean Distance@0.65,Mean Euclidean Distance@0.70,Mean Euclidean Distance@0.75,Mean Euclidean Distance@0.80,Mean Euclidean Distance@0.85,Mean Euclidean Distance@0.90,Mean Euclidean Distance@0.95
0,Background,,,,,,,,,,
1,person,23.120480642012264,21.784288845234148,20.40082473011081,18.556993283148525,16.99214666444177,14.972568507647608,12.56989956393082,10.681021290708586,8.476575729827589,4.891093361010587
2,chair,31.807409234471304,28.033978870428207,25.52047552949845,21.135673490885022,17.66947402986999,14.685775672404702,11.90348508222411,9.339420337506668,6.92178321420177,3.703307904794021
3,car,17.03204718508383,16.476431988447143,15.537513333699273,14.289958882395753,13.351491149181738,12.13446149402709,12.115126860237273,9.557866660642885,7.410283030426028,4.362712365678126
4,dog,36.57045741679777,34.546978195571796,32.01598119494773,28.83859962768437,25.710199327076637,21.80632017263048,18.517428021688946,15.427012718086509,11.814101786421805,6.9451252046904735
5,bottle,11.670064215384597,10.668295710570202,10.004027108662537,8.733587212285519,7.769960234372002,7.708757100725695,7.0717759716995205,5.603600289083852,6.077965908783888,
6,cat,40.94588122211473,40.24171129612307,38.029711210081935,35.55657465350851,31.421613017350854,27.7918017735337,21.30440305955267,17.55156093514011,14.645336197186216,7.0936539325201675
7,bird,28.450866658588826,26.020756809612028,23.245340588530677,19.890720666179014,17.109195139058688,15.60550481565476,13.798473822307344,10.241074957187573,5.891728532415314,
8,pottedplant,21.556987621844527,20.873583589831036,17.53330044918324,17.24146656688609,11.433271150398467,10.48228597062091,8.856688854026302,4.869039467315756,4.794524474490153,2.413449650771655
9,sheep,12.60905032255162,11.72611737625505,11.31986412117708,10.26375082951033,8.968959322740217,8.424778456924889,7.9628400326524185,6.286094783403749,3.3393699275987268,1.020350200856915
10,boat,24.662103144541252,23.1681816038349,23.041364785878876,21.189217918098308,16.55769857967388,13.421609010367685,10.56796524975903,7.163901341792713,6.1840059691258675,7.424644943452053
