Class,Precision,Recall,F1 Score
Background,0.0,0.0,0.0
person,0.10639787204255916,0.9242930982061417,0.1908289130912401
chair,0.028018303414290742,0.6768707482993197,0.053809234097208135
car,0.1277602523659306,0.805168986083499,0.22052817860059898
dog,0.1326059588753672,0.8681318681318682,0.23006916636330543
bottle,0.11840324763193505,0.5223880597014925,0.19305019305019308
cat,0.3269230769230769,0.41975308641975306,0.36756756756756753
bird,0.12714156898106402,0.6558139534883721,0.21299093655589124
pottedplant,0.08481613285883749,0.5697211155378487,0.1476510067114094
sheep,0.21618037135278514,0.7212389380530974,0.33265306122448984
boat,0.11964980544747082,0.6,0.1995133819951338
Mean,0.1387896589893317,0.6763379853921392,0.21486616392570373
