,epoch,time_elapsed,total_time_elapsed
0,1,1072.9144401550293,1072.9144401550293
1,2,1072.3066720962524,2145.2211122512817
2,3,1072.406347990036,3217.6274602413177
3,4,1072.7079694271088,4290.3354296684265
4,5,1069.2603178024292,5359.595747470856
5,6,1072.0626044273376,6431.658351898193
6,7,1071.5330619812012,7503.1914138793945
7,8,1069.9628982543945,8573.154312133789
8,9,1071.2837698459625,9644.438081979752
9,10,1070.582360982895,10715.020442962646
10,11,1070.7718861103058,11785.792329072952
11,12,1070.9043021202087,12856.696631193161
12,13,1071.2205126285553,13927.917143821716
