,AP@0.00,AP@0.05,AP@0.10,AP@0.15,AP@0.20,AP@0.25,AP@0.30,AP@0.35,AP@0.40,AP@0.45,AP@0.50,AP@0.55,AP@0.60,AP@0.65,AP@0.70,AP@0.75,AP@0.80,AP@0.85,AP@0.90,AP@0.95,AP@0.5:0.95
Background,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
person,0.14618087503916943,0.14236059858630035,0.14119530527134763,0.13974542298542725,0.13887908527135262,0.13667734935345593,0.1347770964991067,0.13279614774781875,0.13045699767531635,0.12657401686898423,0.12068028985673528,0.11318511593862023,0.10177486908948906,0.08773303476017748,0.06818537242619706,0.04930687246198892,0.029104547412497617,0.013082429453653194,0.003579951334703983,0.0001287675717892931,0.058676125030585204
chair,0.3104770017035775,0.30938281047796745,0.3082905507461361,0.3082905507461361,0.3072002225080833,0.30611182576380924,0.3017775537244995,0.29962200666751654,0.2985471303796931,0.29213843402210404,0.2847495045718458,0.2795296426350211,0.2641597808913458,0.25217679348854816,0.23093036192330424,0.2043520417820734,0.1819042210865039,0.1416644454488212,0.08576218675999644,0.016070993985328373,0.19412999725727884
car,0.3572684162286858,0.3572684162286858,0.35581758151905196,0.35581758151905196,0.3543696986603025,0.3543696986603025,0.35292476765243724,0.35004376118935976,0.34717456212981945,0.3457443903763757,0.34289290242214127,0.3386378093724217,0.33020732324685886,0.31502743007434236,0.29887490203544875,0.27289861425360235,0.23733028702322073,0.1870528868363686,0.11324628325075531,0.015055915435375869,0.24512243539505363
dog,0.1452485722588259,0.1452485722588259,0.1452485722588259,0.1452485722588259,0.14432194896307146,0.14247759795520185,0.1397333104024955,0.13701570960070691,0.13521880170557993,0.1325456788219875,0.12727949330755592,0.1221200547967952,0.11458104766253713,0.09868760489375708,0.07774888360425328,0.06230615040652817,0.03701155832834192,0.018931284581581397,0.004816958540649852,0.0001793942700580585,0.06636624303920581
bottle,0.30089871498124354,0.30089871498124354,0.30089871498124354,0.30089871498124354,0.29699098092425574,0.2950466916753133,0.29310878761273845,0.29310878761273845,0.29310878761273845,0.2854210232261154,0.28161545215100964,0.26849708675871975,0.2520903503871019,0.24143985952589994,0.2191523665096975,0.1869710272168569,0.15876446643786415,0.10926650171601886,0.037238406896001275,0.0004597334184691516,0.17554952510176391
cat,0.4313134745346774,0.4313134745346774,0.4313134745346774,0.4313134745346774,0.4313134745346774,0.4313134745346774,0.4313134745346774,0.4313134745346774,0.4313134745346774,0.4313134745346774,0.42412504247366634,0.42412504247366634,0.42412504247366634,0.41345565749235474,0.3959753841507155,0.3754974138256504,0.3490391512817609,0.3329935440027183,0.21822025899497868,0.026284592441575116,0.3383841129610753
bird,0.38039301885962984,0.38039301885962984,0.38039301885962984,0.38039301885962984,0.38039301885962984,0.38039301885962984,0.38039301885962984,0.38039301885962984,0.38039301885962984,0.38039301885962984,0.38039301885962984,0.37674418604651166,0.36949927462962145,0.36949927462962145,0.3659031960258496,0.3309095704928122,0.2912384050644041,0.23074691168066117,0.038299555985404674,0.0007121818261748801,0.27539455752406916
pottedplant,0.03951330826927033,0.03751296327470504,0.036727373240475765,0.035564575292985595,0.035564575292985595,0.03442048187011994,0.03442048187011994,0.03329509297187879,0.03255522510895386,0.03146101041842022,0.02794871635004063,0.02338065578063334,0.020077228903894073,0.013268781940573647,0.01039140256917037,0.0055375784291108905,0.0025978506422925924,0.0007575332472925201,5.091787258893482e-05,4.156561027668148e-06,0.010401482229662466
sheep,0.16583873408560057,0.16351120176333192,0.16120011843274007,0.16120011843274007,0.15662729874658682,0.15662729874658682,0.15436556239102545,0.14989143665493304,0.14989143665493304,0.1476790472744021,0.1476790472744021,0.13475013981642925,0.1125851235319275,0.08895614698818963,0.06961213277626081,0.05003783268085666,0.029608185018258383,0.007903740500707307,0.00020561239596012765,8.224495838405106e-06,0.06413461854788302
boat,0.2608612804878049,0.2608612804878049,0.2608612804878049,0.2608612804878049,0.2608612804878049,0.2608612804878049,0.2608612804878049,0.24970274390243904,0.24695121951219512,0.24421493902439023,0.24421493902439023,0.23609756097560977,0.23342225609756098,0.2281173780487805,0.20750762195121952,0.1951219512195122,0.17378810975609754,0.1171951219512195,0.042873475609756094,0.001288109756097561,0.1679626524390244
mAP,0.2537993396448485,0.2528751051453172,0.2521945990331933,0.25193333100985227,0.250652158424875,0.24982987179069016,0.2483675334034535,0.2457182179741698,0.24456106541735365,0.2417485033427087,0.23815784062914172,0.23170672945944287,0.22225222969140032,0.2108361961842245,0.19442816239721167,0.1732939052768992,0.14903867820512418,0.11595943994190423,0.054429360764079546,0.006019206976173438,0.15961217495256014
