Class,Precision,Recall,F1 Score
Background,0.0,0.0,0.0
person,0.14733388022969648,0.8190939495287322,0.24974506350236395
chair,0.3083475298126065,0.923469387755102,0.46232439335887615
car,0.3578322197475872,0.9582504970178927,0.5210810810810811
dog,0.15812196438208312,0.804945054945055,0.2643211547135769
bottle,0.3176470588235294,0.8865671641791045,0.4677165354330708
cat,0.43486238532110094,0.9753086419753086,0.6015228426395939
bird,0.3931947069943289,0.9674418604651163,0.5591397849462366
pottedplant,0.04277516953573292,0.6533864541832669,0.0802937576499388
sheep,0.24907063197026022,0.5929203539823009,0.3507853403141361
boat,0.2796875,0.8731707317073171,0.4236686390532544
Mean,0.2688873046816926,0.8454554095739196,0.3980598592692129
