,epoch,time_elapsed,total_time_elapsed
0,1,3701.6597526073456,3701.6597526073456
1,2,3702.7727315425873,7404.432484149933
2,3,3722.7535371780396,11127.186021327972
3,4,3704.030978679657,14831.21700000763
4,5,3697.4269058704376,18528.643905878067
5,6,3710.405719280243,22239.04962515831
6,7,3691.3934292793274,25930.443054437637
7,8,3703.3335654735565,29633.776619911194
8,9,3696.3038415908813,33330.080461502075
9,10,3683.6352639198303,37013.715725421906
10,11,3678.0740263462067,40691.78975176811
11,12,3685.235919713974,44377.025671482086
12,13,3687.2600569725037,48064.28572845459
13,14,3683.6727488040924,51747.95847725868
14,15,3683.774283885956,55431.73276114464
