,epoch,time_elapsed,total_time_elapsed
0,1,968.0305156707764,968.0305156707764
1,2,977.020035982132,1945.0505516529083
2,3,973.2379591464996,2918.288510799408
3,4,976.6059367656708,3894.8944475650787
4,5,973.3039190769196,4868.198366641998
5,6,970.9172139167786,5839.115580558777
6,7,975.025604724884,6814.141185283661
7,8,975.7396426200867,7789.880827903748
8,9,972.9475193023682,8762.828347206116
9,10,972.6627609729767,9735.491108179092
10,11,972.3593573570251,10707.850465536118
11,12,971.5770809650421,11679.42754650116
12,13,973.1929304599762,12652.620476961136
