,epoch,time_elapsed,total_time_elapsed
0,1,621.5432851314545,621.5432851314545
1,2,620.5918900966644,1242.135175228119
2,3,615.821968793869,1857.957144021988
3,4,615.4251437187195,2473.3822877407074
4,5,612.9234592914581,3086.3057470321655
5,6,613.7683403491974,3700.074087381363
6,7,615.8376884460449,4315.911775827408
7,8,619.2884709835052,4935.200246810913
8,9,613.3684406280518,5548.568687438965
9,10,624.2682957649231,6172.836983203888
10,11,615.2761633396149,6788.113146543503
11,12,617.272218465805,7405.385365009308
12,13,617.0063440799713,8022.391709089279
