,AP@0.00,AP@0.05,AP@0.10,AP@0.15,AP@0.20,AP@0.25,AP@0.30,AP@0.35,AP@0.40,AP@0.45,AP@0.50,AP@0.55,AP@0.60,AP@0.65,AP@0.70,AP@0.75,AP@0.80,AP@0.85,AP@0.90,AP@0.95,AP@0.5:0.95
Background,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
aeroplane,0.25749550742457206,0.2543838078123522,0.24821715690910812,0.24821715690910812,0.24821715690910812,0.24212617043412465,0.23611084838740187,0.23611084838740187,0.23313156152463824,0.22722973612030647,0.2243071975787383,0.20997824647687507,0.20160786910053913,0.18011917147451056,0.1623096566726568,0.14542703111699612,0.11237113402061856,0.05607679939468457,0.014385699423058736,0.00023645133831457486,0.13068192565969924
bicycle,0.10786084025520645,0.10786084025520645,0.10786084025520645,0.10786084025520645,0.10594335242222565,0.10404306178954065,0.10404306178954065,0.10404306178954065,0.10404306178954065,0.10029407212505805,0.09479956663055254,0.08771432010868632,0.07277855165179109,0.06658755954530603,0.04966551445424685,0.03745550224423464,0.018994307726702093,0.011143785791673116,0.004548659478236943,3.439440059158369e-05,0.04437221620320213
bird,0.20513522045669788,0.20036479708162333,0.19800063137956433,0.1933143919464029,0.1933143919464029,0.1933143919464029,0.18639026272405204,0.18184432986074572,0.17959240941457083,0.17735451962538146,0.17292083201795924,0.16208214949665017,0.15366375530534218,0.13554316180855167,0.09277771931670699,0.059377740362692485,0.025255182573924024,0.004742362061103511,0.0002525518257392403,2.8061313971026693e-05,0.08066435160826405
boat,0.09777248992002115,0.09663890541344437,0.09663890541344437,0.09439156586687818,0.08997620464009519,0.08780818295987838,0.08673408685306366,0.08460572410602156,0.08355145746579418,0.08250380064776258,0.07736466389054134,0.074360499702558,0.06664022737788353,0.05246876859012493,0.03926564875404852,0.025593231542071517,0.012297574195254148,0.005829863176680546,0.000955119307290634,8.262277744728668e-05,0.03548582193139004
bottle,0.1191503744685393,0.11656022628217673,0.11656022628217673,0.11656022628217673,0.11399854126269723,0.11272837244053868,0.11272837244053868,0.11146531941010088,0.11020938217138385,0.10771885506911213,0.10648426520555744,0.10282319036521802,0.09452973511465318,0.08437905822496575,0.06973475886360807,0.044630245672709165,0.025705797591304504,0.010374824328891894,0.002223684912742604,1.4231583441552666e-05,0.054089979186309235
bus,0.191345600920069,0.191345600920069,0.191345600920069,0.191345600920069,0.18507240315750953,0.1819750117622458,0.17585864394375034,0.17283966752051858,0.16984682942129753,0.1668801296460871,0.16102514506769824,0.15813686026451984,0.15527471378535207,0.14135605624967326,0.1359715615034764,0.12809085681426108,0.10586021224319096,0.060431805112656174,0.01024622301218046,0.0002091065920853155,0.10566025406450938
car,0.16726856774940368,0.16425478138918428,0.16425478138918428,0.16126839308678506,0.16052607695771967,0.1575739362275957,0.1531970964908225,0.14816869669151328,0.14674742244209163,0.14462835390756237,0.1390528491411565,0.13494314046813005,0.12493856841723133,0.11344165840443987,0.09723656339311247,0.07350299580638477,0.04890638939832153,0.027127501999202035,0.0057570168994645395,5.479611564035254e-05,0.07649614800430833
cat,0.29888177881197076,0.29888177881197076,0.29888177881197076,0.29888177881197076,0.29888177881197076,0.2901557753215694,0.2901557753215694,0.2844102586200706,0.2815590459569517,0.2675184395176639,0.25926644115513614,0.2458003863859982,0.2378931190255604,0.2250016159265723,0.18156550966324092,0.15308929251143719,0.10515013753330604,0.06345923196805492,0.014543339150668994,0.001034193006269795,0.14868032663262448
chair,0.09465963593248433,0.09250590355640945,0.0908007621585504,0.08743806470416787,0.08619341061985854,0.08413881437156617,0.0813040167976255,0.07891285339551152,0.07423759360928867,0.07007734600689591,0.06388381642368401,0.057300681858286885,0.05044095749637658,0.04197473218375079,0.029996609544429842,0.020426503448945886,0.011452205481434777,0.0041047313708345474,0.000573006818582869,2.42883513067133e-05,0.028017753297763286
cow,0.06548562040552887,0.06548562040552887,0.06548562040552887,0.06548562040552887,0.06444204155874636,0.06444204155874636,0.06444204155874636,0.06238003034341707,0.06136159797487029,0.060351547765735404,0.057371690094802225,0.05163829305705736,0.04888475369024568,0.045330718099596816,0.03624864837679483,0.027497673950763194,0.01663439535293082,0.0037719717353584628,0.00041910797059538477,4.191079705953847e-06,0.02878014434078508
diningtable,0.10086450945176707,0.0994388806023155,0.0994388806023155,0.09802339857741518,0.09661806337706615,0.09522287500126836,0.08974358974358973,0.08839913549054823,0.085740667458119,0.08442665367873124,0.08054549328787555,0.07800878715006139,0.07064219252584904,0.0647824013474983,0.044828670867452035,0.03166316601219648,0.01591022089637048,0.009380739297636805,0.0026838350938073927,0.0004109463943258957,0.039885645287307335
dog,0.254132326007326,0.254132326007326,0.25242960164835165,0.25242960164835165,0.25073260073260073,0.24904132326007328,0.24735576923076924,0.24567593864468867,0.23736263736263735,0.23407738095238095,0.222759271978022,0.21328124999999998,0.20096440018315018,0.18173076923076922,0.15938644688644688,0.12262190934065935,0.08466117216117217,0.038507326007326,0.010648466117216116,0.00023179945054945054,0.12347928113553115
horse,0.12612612612612614,0.12612612612612614,0.12612612612612614,0.12612612612612614,0.12612612612612614,0.12612612612612614,0.12612612612612614,0.1216618404118404,0.11297458172458173,0.10875160875160873,0.10875160875160873,0.10460907335907335,0.09656531531531531,0.09656531531531531,0.07964325933075933,0.06275136743886743,0.045135537323037316,0.02931949806949807,0.007882882882882884,1.0054697554697554e-05,0.06312339124839124
motorbike,0.12567189249720045,0.12194848824188129,0.12194848824188129,0.12194848824188129,0.12010778275475924,0.12010778275475924,0.12010778275475924,0.11828107502799551,0.11288493840985442,0.10935750279955207,0.10935750279955207,0.1041713325867861,0.09745240761478163,0.0786394176931691,0.06998880179171332,0.0541993281075028,0.03936870100783875,0.014172732362821948,0.004731243001119821,0.0001749720044792833,0.05722564389697647
person,0.2014740005500461,0.1995245780447451,0.19913583078578817,0.1987474626075323,0.1977136674156108,0.19668256790867475,0.194628455949759,0.19309494815365902,0.19004612843511087,0.1865198355135142,0.17993547751627084,0.1720218519806535,0.15973020236823085,0.14094576380791451,0.11630406509506407,0.08730009521454209,0.057197044021357155,0.02804599082881636,0.005629116750601101,0.00019006685151343652,0.0947299674434964
pottedplant,0.08424837236420173,0.08342443235189323,0.08342443235189323,0.08260454118485408,0.08260454118485408,0.08097690538658374,0.07936546496939073,0.07697867068312117,0.07231440093285395,0.06779588961228258,0.06632210993424675,0.06129141968710524,0.053786884980403585,0.03967868363942603,0.03163160366663428,0.017887798399896352,0.00908763320700936,0.00323907621546335,0.0005850581414180675,1.8219803711981343e-05,0.028352848767531504
