,Class,Mean Euclidean Distance@0.50,Mean Euclidean Distance@0.55,Mean Euclidean Distance@0.60,Mean Euclidean Distance@0.65,Mean Euclidean Distance@0.70,Mean Euclidean Distance@0.75,Mean Euclidean Distance@0.80,Mean Euclidean Distance@0.85,Mean Euclidean Distance@0.90,Mean Euclidean Distance@0.95
0,Background,,,,,,,,,,
1,aeroplane,22.7918074077363,21.159093616213024,21.2905163532898,20.069933928516583,19.23224432599051,17.05515112700732,14.67378792812406,12.341449190289483,10.013424813343068,5.015736044205282
2,bicycle,30.66688204948555,29.859838669865667,26.051454357471833,23.954125696304445,18.55065245543007,16.69337572036055,13.036721365439462,10.889585150157261,10.245510971049614,6.1437885523883375
3,bird,25.314183794005903,23.52641990519554,21.456550085240377,19.327828967397537,17.06061392326534,15.637656408681654,13.621189064913189,11.625848951698625,11.11068127002823,6.161600263377917
4,boat,25.70820056417039,22.406301493889107,20.967124886536833,17.982066456069827,17.31571093909305,15.263665649968818,14.230801115786821,13.453598022712175,9.596886915878825,4.153211963366655
5,bottle,14.964552114656149,14.525382428965147,13.04680301045022,12.394705895538687,11.016644590661919,9.99820419557424,9.177127191086118,7.171851966942893,5.206368633520493,2.521750229370238
6,bus,20.098145106519954,19.54812439778023,17.901176577935235,17.84534957533083,16.881020869070337,16.417310982764967,15.29522339514656,13.058539185053567,9.77759768299755,6.597515806949586
7,car,15.85752330261026,15.070114370250476,13.955259737635595,12.886463210960537,12.049566774522344,10.950475644160058,10.115365162630697,9.176859190826374,7.730141234159873,6.787264353256586
8,cat,37.71271278374294,34.0016677580002,31.555470756159167,30.755633780979547,26.665742813846787,23.956330764600946,20.731269339598793,16.5137740963142,12.856847071123955,7.978729483369045
9,chair,23.011390700676632,21.065041480611992,18.679085581634414,16.789712856704913,13.496925524033367,10.918077038663908,9.418551514657697,7.199172133138413,5.144224718866387,4.117613420686876
10,cow,18.458112919812038,15.91706432965155,14.949336795261859,13.765356249011637,12.277508362128765,11.4176124467915,10.512888633316148,9.003064538137227,8.315939599623318,2.696343459386289
11,diningtable,41.164232697785,39.09377313755814,35.33963522130917,32.284252476931755,29.02229879431272,25.616313162401696,19.26155527502172,17.02825600295198,11.35881547443988,7.46563725973488
12,dog,33.30364077262198,31.778637301903643,29.31346625078213,27.29262783393033,25.30556926506176,22.450479657411307,18.733587549053052,14.548068404526886,11.171891897796758,6.978076668714102
13,horse,29.348040472838637,28.208815881136207,25.10411313489724,24.454967571423946,23.070714184596017,19.788197150415932,16.647478658451696,15.066634364601585,10.961651674980859,10.149567755133114
14,motorbike,35.55936703985051,33.96329063305293,31.75221103605665,27.356054632665842,25.843739314593368,22.565988995456653,19.362345069533497,16.570901934532966,14.785544216548924,6.997229536967441
15,person,22.811979259541015,21.09470144661729,19.839247812852093,17.936750041665643,16.158286006303555,14.145358447138035,12.285001589232815,10.61602582790228,8.257336827543353,4.706204109229852
16,pottedplant,22.795826990416323,21.003233782686333,18.978755895390567,16.18008596300402,14.001754904308314,11.852589962814191,10.005006424117237,10.986388848447305,5.598045751836086,5.756974582424668
17,sheep,15.643844086282657,15.234361107612411,15.08301734469837,13.830065853557945,11.72764659851804,10.521357693663559,9.348015643183848,8.84808920245142,9.027450103576873,5.703020223061287
18,sofa,41.01265495829246,36.11066373898629,31.7208419684761,30.502135200592615,28.637940358420582,23.432876832898724,20.39025450320735,14.114268974293546,9.22828629120442,6.283698548838435
19,train,36.4759393846106,35.6869439741911,33.545124121479795,31.064388600170584,27.68657462185665,24.36811680565154,22.014784291596065,15.977937779378006,12.379148942917586,6.394695558819964
20,tvmonitor,17.645383720455055,17.31262874613584,17.155649569457648,17.3336247745721,16.221293110147027,14.064422031902197,11.965978765145342,10.317220731049051,7.942722426179025,5.653428541616445
