Class,Precision,Recall,F1 Score
Background,0.0,0.0,0.0
aeroplane,0.28256880733944956,0.7938144329896907,0.4167794316644114
bicycle,0.1282051282051282,0.7394366197183099,0.218522372528616
bird,0.2368024132730015,0.7302325581395349,0.3576309794988611
boat,0.10365853658536585,0.7463414634146341,0.18203450327186196
bottle,0.2061978545887962,0.5164179104477612,0.29471890971039183
bus,0.21470019342359767,0.75,0.3338345864661654
car,0.173557278208441,0.8011928429423459,0.28530973451327435
cat,0.33158813263525305,0.7818930041152263,0.465686274509804
chair,0.1046342174293209,0.6105442176870748,0.17865140582234387
cow,0.06521739130434782,0.8796992481203008,0.12143227815256877
diningtable,0.11634349030470914,0.6923076923076923,0.1992094861660079
dog,0.290625,0.7664835164835165,0.42145015105740186
horse,0.20077220077220076,0.5416666666666666,0.29295774647887324
motorbike,0.13997760358342665,0.78125,0.23741690408357077
person,0.20246588626445938,0.8887199756764974,0.329798036782128
pottedplant,0.09197154471544715,0.7211155378486056,0.16313654799459215
sheep,0.39228295819935693,0.5398230088495575,0.4543761638733706
sofa,0.10253807106598985,0.6158536585365854,0.17580504786771106
train,0.30569948186528495,0.8251748251748252,0.446124763705104
tvmonitor,0.15850515463917525,0.7784810126582279,0.2633832976445396
Mean,0.19241556722013758,0.7250224095888527,0.2919129310895799
