,AP@0.00,AP@0.05,AP@0.10,AP@0.15,AP@0.20,AP@0.25,AP@0.30,AP@0.35,AP@0.40,AP@0.45,AP@0.50,AP@0.55,AP@0.60,AP@0.65,AP@0.70,AP@0.75,AP@0.80,AP@0.85,AP@0.90,AP@0.95,AP@0.5:0.95
Background,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
aeroplane,0.22290331568682084,0.22290331568682084,0.22290331568682084,0.22290331568682084,0.22290331568682084,0.22290331568682084,0.2201257314015046,0.2201257314015046,0.2201257314015046,0.21736556143772637,0.21736556143772637,0.21189746447478405,0.2011702424073558,0.1856018389523544,0.16823105321816662,0.14043779604346615,0.08707160769016438,0.04266508776818055,0.006347520200612984,8.70716076901644e-06,0.126079687935358
bicycle,0.142018779342723,0.142018779342723,0.142018779342723,0.142018779342723,0.142018779342723,0.142018779342723,0.13916420332695761,0.13633860777835738,0.13354199269692227,0.12803570393554745,0.12264533704283313,0.12264533704283313,0.1022430881585811,0.0881585811163276,0.06898800208659364,0.050440503100909986,0.03338549817423057,0.01218628644293746,0.0020865936358894104,1.4490233582565352e-05,0.06027937170347185
bird,0.18733090135278918,0.18024015807873536,0.18024015807873536,0.18024015807873536,0.17790697674418604,0.17790697674418604,0.1755889952880377,0.16646906824745403,0.16646906824745403,0.1575923392612859,0.1447332421340629,0.13850889192886456,0.1284389724882201,0.11311749506003951,0.09363885088919288,0.07004103967168263,0.040500075999392,0.01678826569387445,0.0024623803009575923,0.00012159902720778235,0.07483508131934943
boat,0.090762668599002,0.090762668599002,0.090762668599002,0.08967243622469986,0.08644126414255365,0.08326937962154773,0.08222525979479917,0.08118772747484396,0.08015678266168212,0.07913242535531365,0.07410945142537179,0.07020964740369888,0.06455756657499054,0.05229162892574233,0.03700861316513233,0.0226906671497505,0.014347589795951977,0.005810180991749148,0.0011890449762026317,0.0,0.03422143904085901
bottle,0.10697913149186196,0.10590666576619166,0.10590666576619166,0.10377794286486122,0.10167083136354425,0.10167083136354425,0.10167083136354425,0.10062537988789085,0.0975214425609509,0.0975214425609509,0.0975214425609509,0.09245627068278517,0.0846329438778956,0.07354629567096643,0.057583575335989734,0.042209765651381105,0.025944485716215306,0.00877692983048558,0.0006915648004322281,2.701425001688391e-06,0.04833659755521038
bus,0.1887227464150541,0.1887227464150541,0.1887227464150541,0.1887227464150541,0.1855642624873394,0.18243243243243246,0.17932725625033316,0.17932725625033316,0.17319686550455782,0.16717309025001334,0.16717309025001334,0.16420118343195267,0.15544538621461698,0.15544538621461698,0.14974145743376513,0.13326936403859482,0.10320379551148783,0.07297830374753451,0.030705261474492245,0.0006530198837891146,0.11328162482008634
car,0.1712321289270577,0.16813996446476148,0.16737132563344467,0.1666044477158308,0.16507597462171172,0.16128560787621482,0.16053281726822413,0.15753926397329046,0.1553125885959707,0.14945226779271228,0.1458467969860201,0.14370464546643963,0.13598568024976798,0.12118696149057824,0.10358486811636823,0.07818809023626179,0.05199009662133488,0.026656711634532926,0.007291063186866401,0.00017256954288441187,0.08146074835310546
cat,0.3726182830229073,0.3684198006612907,0.3684198006612907,0.3684198006612907,0.3684198006612907,0.36009419824448724,0.36009419824448724,0.3559670781893004,0.3559670781893004,0.33969647232331884,0.33969647232331884,0.32774328599633673,0.3121387283236994,0.27842003853564545,0.23982492447489237,0.1828778039439568,0.13872832369942195,0.07051785247032517,0.01628249958371988,0.0009633911368015414,0.1907193320488118
chair,0.036563478873255596,0.03598654939972954,0.035271839303922546,0.0347052326241574,0.03428328842918047,0.03344714213454729,0.03234833808755335,0.030469589623068925,0.029551291094755214,0.028136638233104742,0.025411420680226227,0.022596738914753223,0.019733884111729334,0.016282630064333944,0.01148253096551384,0.007258214363135239,0.004046535154274153,0.0010603803146616933,8.960758473006469e-05,2.2939541690896555e-06,0.01079642361075268
cow,0.05901721127463208,0.055190107971350176,0.055190107971350176,0.055190107971350176,0.055190107971350176,0.055190107971350176,0.0502868545772013,0.0502868545772013,0.0502868545772013,0.043359583793607236,0.03902647614296405,0.035926308662651896,0.034921426789723126,0.030110822078893915,0.0273955029754481,0.019270926130492107,0.010291130670277588,0.004817731532623027,0.0010262623383102305,7.126821793821045e-06,0.020279371414317786
