Class,Precision,Recall,F1 Score
Background,0.0,0.0,0.0
aeroplane,0.1856946354883081,0.6958762886597938,0.2931596091205212
bicycle,0.09012131715771231,0.7323943661971831,0.16049382716049382
bird,0.16294349540078842,0.5767441860465117,0.2540983606557377
boat,0.09188168659534299,0.7121951219512195,0.16276477146042362
bottle,0.2629695885509839,0.4388059701492537,0.32885906040268453
bus,0.13663845223700122,0.7635135135135135,0.23179487179487182
car,0.15384615384615385,0.7992047713717694,0.25802310654685495
cat,0.3153153153153153,0.1440329218106996,0.1977401129943503
chair,0.026998179192566082,0.7312925170068028,0.05207387223735998
cow,0.0270961145194274,0.39849624060150374,0.05074198180947821
diningtable,0.054373522458628844,0.6318681318681318,0.10013060513713541
dog,0.1282051282051282,0.782967032967033,0.22033243138770775
horse,0.0921409214092141,0.53125,0.15704387990762125
motorbike,0.2009685230024213,0.51875,0.28970331588132636
person,0.10828547990155865,0.9230769230769231,0.1938325991189427
pottedplant,0.07352941176470588,0.6374501992031872,0.13185002060156573
sheep,0.3627906976744186,0.34513274336283184,0.35374149659863946
sofa,0.1187800963081862,0.45121951219512196,0.1880559085133418
train,0.1492842535787321,0.5104895104895105,0.23101265822784808
tvmonitor,0.054771784232365145,0.8354430379746836,0.102803738317757
Mean,0.13983173784194794,0.6080101494222836,0.19791281139373304
