,Class,Mean Euclidean Distance@0.50,Mean Euclidean Distance@0.55,Mean Euclidean Distance@0.60,Mean Euclidean Distance@0.65,Mean Euclidean Distance@0.70,Mean Euclidean Distance@0.75,Mean Euclidean Distance@0.80,Mean Euclidean Distance@0.85,Mean Euclidean Distance@0.90,Mean Euclidean Distance@0.95
0,Background,,,,,,,,,,
1,aeroplane,,,,,,,,,,
2,bicycle,,,,,,,,,,
3,bird,65.72942559880721,58.21246959029982,51.21622695433282,44.79088824096399,37.21406441297924,31.803958545863463,28.816741374756226,23.76018399031072,15.439088356068593,
4,boat,52.75347923576207,48.347413870032334,44.80371086755465,42.15524921270143,34.8593526436981,25.166060611533023,45.41658764513062,,,
5,bottle,,,,,,,,,,
6,bus,69.69157758340914,63.70905764694171,55.34320067489577,47.22488026206642,40.18136204716419,34.0884183072923,26.42414128276563,21.768796991685534,16.14987103698703,
7,car,26.502530477166538,7.778426679172533,,,,,,,,
8,cat,,,,,,,,,,
9,chair,,,,,,,,,,
10,cow,27.080256547071734,27.080256547071734,27.080256547071734,26.77033672922826,,,,,,
11,diningtable,,,,,,,,,,
12,dog,,,,,,,,,,
13,horse,,,,,,,,,,
14,motorbike,,,,,,,,,,
15,person,,,,,,,,,,
16,pottedplant,,,,,,,,,,
17,sheep,,,,,,,,,,
18,sofa,,,,,,,,,,
19,train,,,,,,,,,,
20,tvmonitor,,,,,,,,,,
