,epoch,time_elapsed,total_time_elapsed
0,1,1165.8176381587982,1165.8176381587982
1,2,1167.8873755931854,2333.7050137519836
2,3,1140.1258871555328,3473.8309009075165
3,4,1160.5341804027557,4634.365081310272
4,5,1143.8908059597015,5778.255887269974
5,6,1133.8302788734436,6912.086166143417
6,7,1131.8233275413513,8043.909493684769
7,8,1137.0742292404175,9180.983722925186
8,9,1136.472370147705,10317.456093072891
9,10,1137.7949821949005,11455.251075267792
10,11,1133.133285522461,12588.384360790253
11,12,1133.9306745529175,13722.31503534317
12,13,1129.1580920219421,14851.473127365112
13,14,1127.317806005478,15978.79093337059
14,15,1134.1405668258667,17112.931500196457
15,16,1130.502640247345,18243.434140443802
16,17,1134.7976987361908,19378.231839179993
17,18,1144.7744510173798,20523.006290197372
