,AP@0.00,AP@0.05,AP@0.10,AP@0.15,AP@0.20,AP@0.25,AP@0.30,AP@0.35,AP@0.40,AP@0.45,AP@0.50,AP@0.55,AP@0.60,AP@0.65,AP@0.70,AP@0.75,AP@0.80,AP@0.85,AP@0.90,AP@0.95,AP@0.5:0.95
Background,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
aeroplane,0.614491070132133,0.614491070132133,0.614491070132133,0.614491070132133,0.6078299695077682,0.5946166690866851,0.5946166690866851,0.5946166690866851,0.5946166690866851,0.5815485697691303,0.5815485697691303,0.5815485697691303,0.5686256715551038,0.5622186728619137,0.5432154784376362,0.5245389864962974,0.5122694932481487,0.4881661100624365,0.4588536372876434,0.3067373312037171,0.5127722520691157
bicycle,0.6597001363016811,0.6597001363016811,0.6597001363016811,0.6597001363016811,0.6597001363016811,0.6597001363016811,0.6497425412691201,0.6497425412691201,0.6203240951082841,0.6106693927002877,0.6106693927002877,0.5915871573527185,0.5915871573527185,0.5821596244131455,0.5543313645312736,0.5361578070573981,0.4920490686051795,0.4581250946539452,0.37861578070573976,0.16492503407542028,0.4960207481447826
bird,0.7140497193263833,0.7140497193263833,0.7140497193263833,0.7140497193263833,0.7140497193263833,0.7140497193263833,0.7140497193263833,0.7140497193263833,0.7140497193263833,0.7140497193263833,0.7005773857257418,0.7005773857257418,0.7005773857257418,0.6806094627105052,0.6609302325581394,0.6479711307137129,0.6098636728147554,0.6036246992782678,0.5668644747393745,0.24264635124298314,0.6114242181234963
boat,0.41704853412170484,0.4125277161862528,0.4125277161862528,0.4125277161862528,0.4125277161862528,0.4080315348608032,0.4080315348608032,0.4080315348608032,0.403559990145356,0.3991130820399113,0.3991130820399113,0.3946908105444691,0.3815718157181572,0.3772480906627248,0.36442473515644247,0.3353658536585366,0.3114190687361419,0.2846021187484602,0.234589800443459,0.1306848977580685,0.32137102734663714
bottle,0.519849730937151,0.519849730937151,0.519849730937151,0.5166057467763224,0.5069347141841811,0.5037313432835822,0.4973550614275561,0.4973550614275561,0.4973550614275561,0.4847243374961925,0.481592039800995,0.4691643821707788,0.4630114732460148,0.44179612143364805,0.42107828205909226,0.3783582089552239,0.3431820489389786,0.28998375469590826,0.2133465326429079,0.055970149253731345,0.35574829931972796
bus,0.4898185857089966,0.4898185857089966,0.4898185857089966,0.4898185857089966,0.4898185857089966,0.4743922004195977,0.4743922004195977,0.4743922004195977,0.4743922004195977,0.4743922004195977,0.46677156608663456,0.4592126372948291,0.4592126372948291,0.44427989633469084,0.429593977539183,0.41515488090830555,0.4009626064420585,0.36656176724669876,0.3273170430704677,0.1384980871282241,0.39075650993459216
car,0.37089043053257764,0.37089043053257764,0.37089043053257764,0.37089043053257764,0.369378136773763,0.369378136773763,0.3678689324812585,0.3663628176550642,0.36485979229517995,0.36186300997434195,0.36036925301338824,0.3514715900401785,0.3426851478541339,0.32544592584354015,0.3100341231553955,0.2896204745111306,0.2622091846743934,0.23375056575851805,0.1849292743924951,0.0674754889466619,0.27279910281898356
cat,0.5560640732265446,0.5560640732265446,0.5560640732265446,0.5560640732265446,0.5514968311815502,0.5514968311815502,0.5514968311815502,0.5514968311815502,0.5514968311815502,0.5514968311815502,0.5469484231243703,0.5469484231243703,0.5424188490550046,0.5379081089734535,0.5244888926556865,0.5025002118823628,0.48953301127214166,0.4767353165522502,0.43530054336054846,0.32930285994104963,0.49320846399412377
chair,0.4979057196649151,0.49610007937601275,0.49429771908763503,0.4924986387997822,0.48891031822565095,0.4871210779393724,0.4799969167995067,0.4764545162327226,0.469409075105452,0.4606760737081718,0.4554756328761013,0.44858763177402106,0.4383540301366448,0.42322502771600445,0.3969850235176038,0.37158469945355194,0.3365428138468502,0.29067528650804586,0.24056999849119975,0.08903397424543588,0.3491034118565459
cow,0.14686941569169562,0.14686941569169562,0.14686941569169562,0.14686941569169562,0.14686941569169562,0.1446525506591591,0.1446525506591591,0.14245254391584342,0.14245254391584342,0.14026939546174855,0.13595367342122122,0.1317053845375771,0.1275245288108163,0.12545938838126708,0.12137968238983107,0.1134225698776088,0.10199264978589971,0.09116962810613978,0.060900569810175664,0.00708891061735055,0.10165969857378873
diningtable,0.32795869052413557,0.32795869052413557,0.32795869052413557,0.32795869052413557,0.323629250330821,0.323629250330821,0.3150566710776135,0.3108135320177205,0.3108135320177205,0.30659916000230136,0.29412864622288704,0.2900293423853633,0.27790403313963524,0.25061849145618775,0.21760830792244404,0.20027616362694897,0.14964616535297165,0.10149013290374548,0.06265462286404694,0.006343133306484092,0.18506990391807146
dog,0.5971852708694815,0.5971852708694815,0.5971852708694815,0.5971852708694815,0.5971852708694815,0.5971852708694815,0.5971852708694815,0.5904183535762484,0.5904183535762484,0.5836899942163101,0.5836899942163101,0.5770001927896664,0.5703489492963177,0.5670377867746289,0.5506265664160401,0.5441295546558704,0.5344563331405436,0.5185270869481396,0.4691729323308271,0.2869481395797185,0.5201937536148062
horse,0.4715746252204585,0.4715746252204585,0.4715746252204585,0.4715746252204585,0.4715746252204585,0.4715746252204585,0.46649029982363316,0.46143353174603174,0.4514026675485009,0.4464285714285714,0.44148203262786595,0.431671626984127,0.42197145061728397,0.4029017857142857,0.37059082892416223,0.3660852072310406,0.34833829365079366,0.31834215167548496,0.27393353174603174,0.12964340828924165,0.3504960317460317
motorbike,0.4984615384615385,0.4984615384615385,0.4984615384615385,0.4984615384615385,0.4984615384615385,0.4984615384615385,0.49156250000000007,0.4847115384615384,0.4779086538461538,0.47115384615384615,0.4577884615384616,0.4511778846153846,0.44461538461538463,0.4252163461538461,0.41252403846153846,0.4000240384615385,0.37560096153846156,0.3290625,0.2500961538461538,0.07271634615384616,0.36188221153846156
person,0.46989607412558315,0.4696038047660681,0.4696038047660681,0.46901953881358915,0.4675604650706065,0.46581257701108963,0.46319688216921423,0.46087800279603897,0.4574105943983206,0.45395627879505557,0.44623193921742915,0.4388563316753976,0.4287454211588287,0.41462334212490237,0.3908119132791486,0.36718760228745667,0.3410546118641084,0.30826329900596594,0.2594610442085479,0.13107360187139674,0.35263091066931823
pottedplant,0.704433061405173,0.6984759375197622,0.6984759375197622,0.6984759375197622,0.6984759375197622,0.6984759375197622,0.6984759375197622,0.692544109277177,0.6866375766774173,0.6866375766774173,0.6574843483210017,0.6517295895781952,0.6460001264782141,0.6346170872067286,0.6066021627774616,0.5955732625055334,0.5792196294188326,0.5471953456017201,0.46624928856004555,0.12396129766647694,0.5508632138114209
sheep,0.6253827784801236,0.6253827784801236,0.6253827784801236,0.6253827784801236,0.6253827784801236,0.6253827784801236,0.6194690265486725,0.6194690265486725,0.6077258041859811,0.5903216743924709,0.5618766680713584,0.5562719483073465,0.5396263520157326,0.4912066301446832,0.4351172917544599,0.40119398791965166,0.37321252984969805,0.34184576485461443,0.21251580278128948,0.006798707683663436,0.3919665683382497
sofa,0.5393178828053841,0.5393178828053841,0.5393178828053841,0.5393178828053841,0.5319552676854569,0.5173818439429207,0.5101710353203117,0.5030108288634754,0.4959012245724117,0.4818338224876024,0.4408460682117195,0.42103532031170937,0.414532942009918,0.39532942009918026,0.3765813176803967,0.3463465236312114,0.3346068211719462,0.311734642242688,0.24299160004048173,0.053537091387511386,0.3337541746786762
train,0.8218390804597702,0.8218390804597702,0.8218390804597702,0.8218390804597702,0.8218390804597702,0.8218390804597702,0.8218390804597702,0.8218390804597702,0.8218390804597702,0.8218390804597702,0.8218390804597702,0.810385017281569,0.810385017281569,0.7877180290973395,0.7765051040913109,0.7543203922514267,0.7543203922514267,0.743348605417571,0.721646169922032,0.5223052809259705,0.7502773088979986
tvmonitor,0.9286091018685955,0.9286091018685955,0.9286091018685955,0.9286091018685955,0.9286091018685955,0.9286091018685955,0.9286091018685955,0.9286091018685955,0.9168173598553346,0.9168173598553346,0.9168173598553346,0.9168173598553346,0.9168173598553346,0.9168173598553346,0.9051009644364075,0.9051009644364075,0.8934599156118143,0.8818942133815552,0.7920810729355033,0.5245629897528631,0.8569469559975887
mAP,0.5485672759932013,0.5479384834197374,0.5478483654053183,0.5475669988852605,0.545609442952727,0.5427761101998569,0.5397129381584337,0.5374340770495298,0.5324695412574874,0.5269039988272998,0.518060180864996,0.5110234293058954,0.5043257866608691,0.4893218298979005,0.46842651438718264,0.4497456260260607,0.4271969636107572,0.3992549041821078,0.3426044937089486,0.16951265405149077,0.42794723826962083
