,Class,Mean Euclidean Distance@0.50,Mean Euclidean Distance@0.55,Mean Euclidean Distance@0.60,Mean Euclidean Distance@0.65,Mean Euclidean Distance@0.70,Mean Euclidean Distance@0.75,Mean Euclidean Distance@0.80,Mean Euclidean Distance@0.85,Mean Euclidean Distance@0.90,Mean Euclidean Distance@0.95
0,Background,,,,,,,,,,
1,aeroplane,5.466460070388935,5.367882303825641,4.510660249649451,4.39553020951797,4.089997573421323,3.7437362923780797,3.6613324365039794,3.3485418070454833,3.095609250555834,2.7479981401036375
2,bicycle,8.196302551778297,7.348682095892393,7.348682095892393,6.654213274987102,6.084690106747377,5.722299480090133,5.22267919199276,4.832603318338064,4.605121238354598,3.6921578906687156
3,bird,6.228324059155099,5.598679841826935,5.38506194433008,5.000478051761416,4.448175180527782,3.9915937112246613,2.9553999574508523,2.8171283436756513,2.7054797824888075,2.5274843501038875
4,boat,5.690119699307855,5.659307195369494,5.576502384670841,5.847357885418513,4.740080446382204,3.7648042748900066,3.4919197224317404,3.4249239141607215,2.800144728948423,2.5166538368123716
5,bottle,4.955168585188754,4.946054688781738,5.1295917835908895,4.280886535494717,4.117918113298561,3.501036530856063,2.8782029288198485,2.12421745761749,2.006411811356708,1.5320849006830861
6,bus,7.891634570533121,7.171956560790027,6.910718804575025,6.367572107896619,6.0861884097416565,5.957609108610153,5.207778006986031,4.624638554736809,4.327282548160402,4.118927004502904
7,car,7.83898979440848,6.910110063251616,6.213411174276434,5.219461135580326,4.731513913347633,4.147113377616278,3.4318325523554982,2.996433114709221,2.631298369097275,2.295232996640097
8,cat,9.169070471526583,8.381500671114159,7.849512427096694,7.4185922651954925,6.002850352561565,5.204862314809938,4.679350929397745,4.305503915439408,3.466698520249802,3.2098894250769603
9,chair,8.352372267406732,7.841963196427115,7.3410443348814285,6.6536759902037605,5.565530677490689,4.864430150244988,4.212400390764188,3.593125829181984,3.0011077430268265,2.1820366850040793
10,cow,9.619972728714435,8.788020651047834,8.160666094607764,7.783641676178517,7.449193970912215,6.591829825508689,5.419809654286413,4.672281725910408,4.2511498147026145,3.4360315198416784
11,diningtable,26.781951698562526,25.778018072647512,23.74866619959368,21.207231649941676,19.71871310109705,18.097179411945753,15.066064920390831,11.60233554538747,9.637202926052296,7.081551507956063
12,dog,8.44207443378635,7.825468887817141,7.164432294902798,7.106582631631372,6.1448333356491025,5.874949348625227,5.646719878500926,5.059063359050174,4.632755448612046,3.868015859212932
13,horse,10.243235458581543,9.325924411296944,8.900954217071286,7.475967398720511,6.562248529051229,6.55549058306222,6.5636955308567915,5.590489417391747,5.154555657331177,3.948190078409658
14,motorbike,13.081765342901923,12.937304954121963,13.029146775202028,11.862531445037025,10.992816091958655,10.109408480901115,8.304317645213317,6.939416481420918,5.841208965850517,5.185476547870375
15,person,8.610673273625386,8.099286370593347,7.244977636325711,6.515167590081887,5.564706006006515,4.891235652944164,4.107961534609104,3.530320869441217,2.967149791488659,2.4169003830175653
16,pottedplant,5.015511348538635,4.745304333463907,4.511297536474972,4.23887244906222,3.957966480890779,3.828037170385217,3.7344639263437287,3.5447124352033725,3.3509220828471498,2.938461405774344
17,sheep,7.606814583255179,7.348066211762889,6.9810704451396015,6.136197182219516,4.488962049641601,4.133728920667415,3.859662664207859,3.7602876154365066,3.2821151233131003,3.9361467114620114
18,sofa,16.80100414137134,14.560636014016069,14.18290296633479,12.540469476363551,11.454938065660745,9.467447351764104,9.130059616105155,8.175100375795326,6.631220104878794,5.48947672010398
19,train,6.633576942871196,5.404748372697211,5.5012003365309585,4.940428825000709,4.513362215913972,4.391623164723468,4.391623164723468,4.371353047832158,4.392991863407576,4.144453589178278
20,tvmonitor,2.700443743872987,2.700443743872987,2.700443743872987,2.700443743872987,2.690869840092162,2.690869840092162,2.682910509890419,2.6782665877189458,2.3418375078452236,1.9423217044382315
