Class,Precision,Recall,F1 Score
Background,0.0,0.0,0.0
aeroplane,0.6302816901408451,0.9226804123711341,0.7489539748953974
bicycle,0.6827956989247311,0.8943661971830986,0.774390243902439
bird,0.7206896551724138,0.9720930232558139,0.8277227722772278
boat,0.45454545454545453,0.8780487804878049,0.5990016638935108
bottle,0.5238095238095238,0.9194029850746268,0.6673889490790899
bus,0.5616438356164384,0.831081081081081,0.6702997275204359
car,0.3752913752913753,0.9602385685884692,0.5396648044692738
cat,0.551487414187643,0.9917695473251029,0.7088235294117649
chair,0.5081967213114754,0.8962585034013606,0.6486153846153847
cow,0.14237668161434977,0.9548872180451128,0.24780487804878049
diningtable,0.3743455497382199,0.7857142857142857,0.5070921985815603
dog,0.6105263157894737,0.9560439560439561,0.7451820128479658
horse,0.47354497354497355,0.9322916666666666,0.6280701754385964
motorbike,0.5307692307692308,0.8625,0.6571428571428571
person,0.46845095693779903,0.9525691699604744,0.6280445023554174
pottedplant,0.7238095238095238,0.9083665338645418,0.8056537102473498
sheep,0.6349206349206349,0.8849557522123894,0.7393715341959335
sofa,0.5477178423236515,0.8048780487804879,0.6518518518518519
train,0.8218390804597702,1.0,0.9022082018927445
tvmonitor,0.9285714285714286,0.9873417721518988,0.9570552147239264
Mean,0.5632806793739478,0.9147743751104155,0.6827169093695754
