,epoch,time_elapsed,total_time_elapsed
0,1,607.9685399532318,607.9685399532318
1,2,551.7358298301697,1159.7043697834015
2,3,534.6451923847198,1694.3495621681213
3,4,536.3375489711761,2230.6871111392975
4,5,535.5163943767548,2766.2035055160522
5,6,534.2085647583008,3300.412070274353
6,7,535.9676260948181,3836.379696369171
7,8,534.9532635211945,4371.332959890366
8,9,536.5415556430817,4907.874515533447
9,10,535.06077003479,5442.935285568237
10,11,536.8357253074646,5979.771010875702
11,12,532.994647026062,6512.765657901764
