,epoch,train_loss,val_loss,loss_classifier_train,loss_box_reg_train,loss_objectness_train,loss_rpn_box_reg_train,loss_classifier_val,loss_box_reg_val,loss_objectness_val,loss_rpn_box_reg_val
0,1,0.09567770897659636,0.0771960982043917,0.0519584069843404,0.033619014496865274,0.0035384014437517776,0.006561886053405311,0.003149306727664225,0.003149306727664225,0.003149306727664225,0.003149306727664225
1,2,0.04000072441697441,0.05916888184234873,0.014930932495151185,0.01953156267982403,0.0009405287262509128,0.00459770060999762,4.260029754732386e-05,4.260029754732386e-05,4.260029754732386e-05,4.260029754732386e-05
2,3,0.0307741342926392,0.04776351244739393,0.009884158335613194,0.01621542978482605,0.0006671978470222288,0.004007348413334227,4.1098915971815586e-05,4.1098915971815586e-05,4.1098915971815586e-05,4.1098915971815586e-05
3,4,0.028379585181598922,0.03984307429936962,0.01032009957761779,0.0137172176702595,0.0007674069762052075,0.0035748610130719727,2.1113885395607213e-05,2.1113885395607213e-05,2.1113885395607213e-05,2.1113885395607213e-05
4,5,0.022727916312524795,0.04065914378297938,0.006641117750579086,0.011904586148128369,0.0003833870990189889,0.0037988252767086434,3.120857286376122e-06,3.120857286376122e-06,3.120857286376122e-06,3.120857286376122e-06
5,6,0.024207552669595178,0.035873235527522716,0.007631860659885831,0.012740075649411013,0.0006700470278861369,0.0031655693252181636,1.6263043107755948e-06,1.6263043107755948e-06,1.6263043107755948e-06,1.6263043107755948e-06
6,7,0.019050492206163495,0.035597502130779425,0.00538967390340104,0.009959289160395355,0.0003148010114522851,0.003386728128792733,3.2248436809823033e-06,3.2248436809823033e-06,3.2248436809823033e-06,3.2248436809823033e-06
7,8,0.016760737616602683,0.0380855991713176,0.004784723004329075,0.008779140347561564,0.00030600459077441286,0.0028908696238652163,9.256841337901278e-07,9.256841337901278e-07,9.256841337901278e-07,9.256841337901278e-07
8,9,0.018738934102294613,0.03382602979120423,0.006755050477943488,0.00914599883147046,0.00029201400952493656,0.0025458707955353824,8.33997120253116e-08,8.33997120253116e-08,8.33997120253116e-08,8.33997120253116e-08
9,10,0.018396089185574522,0.03325485303512584,0.006570925902540603,0.008760779055336647,0.00032948219351701846,0.00273490203683855,3.577557721179403e-07,3.577557721179403e-07,3.577557721179403e-07,3.577557721179403e-07
10,11,0.014942724224377393,0.028739933436342586,0.004219677169352293,0.007765432175351947,0.0002418966072401137,0.002715718222186179,4.545160834368289e-07,4.545160834368289e-07,4.545160834368289e-07,4.545160834368289e-07
11,12,0.013869622136162859,0.03301829125117006,0.003979012291554002,0.006950888617314356,0.00021624799649933227,0.0027234732210120573,2.830405598786001e-07,2.830405598786001e-07,2.830405598786001e-07,2.830405598786001e-07
12,13,0.017027535853664136,0.035294870984652484,0.005856966331545955,0.007748763165872132,0.0008531762475173267,0.0025686300528679623,3.043562173843384e-06,3.043562173843384e-06,3.043562173843384e-06,3.043562173843384e-06
13,14,0.01508491044839332,0.029038085159819538,0.004785866053347251,0.007261822068662106,0.00032095550100652283,0.0027162668271037073,1.0440125919330967e-07,1.0440125919330967e-07,1.0440125919330967e-07,1.0440125919330967e-07
14,15,0.013011631766775687,0.031121298206175634,0.00372027579103187,0.006434989623229539,0.00027705832825313166,0.0025793080560779762,1.8952815850070692e-07,1.8952815850070692e-07,1.8952815850070692e-07,1.8952815850070692e-07
15,16,0.012467257285886536,0.02919256118594286,0.0037244369388191104,0.006348049146156999,0.0002288624210269346,0.002165908753635838,6.444752642664753e-08,6.444752642664753e-08,6.444752642664753e-08,6.444752642664753e-08
16,17,0.014228629539235923,0.02329270194684459,0.004783703538877723,0.007094507000385961,0.00021617795446524137,0.002134240994855159,3.0290621211293e-07,3.0290621211293e-07,3.0290621211293e-07,3.0290621211293e-07
17,18,0.01090313876674032,0.02836633067078879,0.003351332319103715,0.005594871429689157,0.00020371995444086154,0.001753215064442488,3.584995162952964e-07,3.584995162952964e-07,3.584995162952964e-07,3.584995162952964e-07
18,19,0.013253905506168938,0.030131000567875432,0.004763200280951387,0.006252052086824907,0.00019224166218961505,0.002046411430035885,8.67289173811514e-08,8.67289173811514e-08,8.67289173811514e-08,8.67289173811514e-08
19,20,0.011713546302194561,0.024945159518878768,0.0034580846750362462,0.005888020425931842,0.00020667995171918662,0.002160761233865235,1.711036397011867e-06,1.711036397011867e-06,1.711036397011867e-06,1.711036397011867e-06
20,21,0.011059911297546769,0.022971650482575285,0.0033940196198233717,0.0055421295133463765,0.00016556494634019042,0.0019581971857225225,2.6739435321498917e-07,2.6739435321498917e-07,2.6739435321498917e-07,2.6739435321498917e-07
21,22,0.011246049625809771,0.026344535162487876,0.003279757411708778,0.005524188180797101,0.00022090735389645587,0.0022211967066724557,3.784194717582068e-07,3.784194717582068e-07,3.784194717582068e-07,3.784194717582068e-07
22,23,0.019489775416282936,0.027087442809638446,0.010096362657621845,0.0070261731900217875,0.00023697951605510418,0.0021302601365886307,4.2200302807771095e-08,4.2200302807771095e-08,4.2200302807771095e-08,4.2200302807771095e-08
23,24,0.0111729279597755,0.022224679636135242,0.0034334446937474804,0.005616273785979516,0.0001644406193685731,0.001958768830556562,5.806701741661868e-08,5.806701741661868e-08,5.806701741661868e-08,5.806701741661868e-08
24,25,0.010084707388786718,0.028234947283634848,0.003299453572819629,0.004966752114017025,0.0001478771638871821,0.0016706245709769106,3.207241872082989e-08,3.207241872082989e-08,3.207241872082989e-08,3.207241872082989e-08
25,26,0.01204126776352466,0.026072941302886694,0.004268124840362471,0.005463073387802472,0.00017988838391688825,0.0021301811579160965,3.0542715556691746e-07,3.0542715556691746e-07,3.0542715556691746e-07,3.0542715556691746e-07
26,27,0.010514679503132857,0.022998421041178035,0.003300117674614411,0.005312453461157777,0.00014708447428258908,0.0017550239028524344,3.638327952248943e-07,3.638327952248943e-07,3.638327952248943e-07,3.638327952248943e-07
27,28,0.00963647327183884,0.026428921084085788,0.0029612079975447968,0.004824398927530985,0.0001619971044815696,0.0016888692252812598,1.281732547875336e-08,1.281732547875336e-08,1.281732547875336e-08,1.281732547875336e-08
28,29,0.009947349363048448,0.023823984861034358,0.00302582733790242,0.004800457758553511,0.00018685556455251478,0.001934208699481306,8.519273073659406e-07,8.519273073659406e-07,8.519273073659406e-07,8.519273073659406e-07
29,30,0.012577328789189943,0.02402971696081326,0.0051056185426940435,0.005309494568669515,0.00020472856851975986,0.001957487112936907,2.7706826832840648e-09,2.7706826832840648e-09,2.7706826832840648e-09,2.7706826832840648e-09
30,31,0.009383976765070627,0.023985265210284695,0.0029395515742432,0.004623071837171429,0.00018238554394071706,0.0016389677980809738,7.548369262977417e-07,7.548369262977417e-07,7.548369262977417e-07,7.548369262977417e-07
31,32,0.008937390542673623,0.025573898550221696,0.0027709887847331815,0.004436580282889257,0.00012777204560932568,0.0016020494428437967,4.260797714650266e-09,4.260797714650266e-09,4.260797714650266e-09,4.260797714650266e-09
