,epoch,time_elapsed,total_time_elapsed
0,1,118.85875821113586,118.85875821113586
1,2,133.7035219669342,252.56228017807007
2,3,107.63976430892944,360.2020444869995
3,4,143.76662731170654,503.96867179870605
4,5,96.95231509208679,600.9209868907928
5,6,123.35535526275635,724.2763421535492
6,7,124.1719810962677,848.4483232498169
7,8,120.62973308563232,969.0780563354492
8,9,132.76949071884155,1101.8475470542908
9,10,132.14716362953186,1233.9947106838226
10,11,144.9709975719452,1378.9657082557678
11,12,101.6564953327179,1480.6222035884857
12,13,125.10731649398804,1605.7295200824738
13,14,109.72979259490967,1715.4593126773834
14,15,109.20383524894714,1824.6631479263306
15,16,109.9287838935852,1934.5919318199158
