,AP@0.00,AP@0.05,AP@0.10,AP@0.15,AP@0.20,AP@0.25,AP@0.30,AP@0.35,AP@0.40,AP@0.45,AP@0.50,AP@0.55,AP@0.60,AP@0.65,AP@0.70,AP@0.75,AP@0.80,AP@0.85,AP@0.90,AP@0.95,AP@0.5:0.95
Background,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
person,0.0520159545330264,0.05057509302974676,0.0501103424237415,0.04971369219620557,0.04948304074559911,0.04922009579343787,0.04863103080320653,0.04798067328333388,0.04666112720836574,0.045391496237224244,0.04345817662101311,0.04144635878648278,0.03828607765034562,0.03223510400264188,0.02388176403971883,0.015852896878131767,0.009753310592856262,0.004561745771480369,0.0013139586041856603,8.550855139692186e-05,0.021087490149825316
chair,0.03827978880116523,0.03363028467303754,0.03141838465091854,0.029072190698885177,0.02742304619259781,0.02523409275234093,0.0238885202388852,0.02148740495977201,0.018539333450699455,0.015808690209107308,0.012460370124603702,0.01024132280649486,0.008018513753654524,0.006067301948428121,0.004068692285584882,0.002468074157333803,0.0013094598600333742,0.0006635700066357,0.00015046938925979594,3.3855612583454083e-06,0.0045451159893287124
car,0.051968878918883486,0.04824141403114221,0.04755795517127512,0.045982180225636236,0.04487288017365219,0.04377712468884743,0.04183889712549069,0.04057112563750892,0.03891110348401484,0.03708502493690263,0.03318418958926642,0.02985872745540654,0.02553123824162262,0.02138985138088217,0.015864480645761618,0.011607423181310014,0.007736927664155414,0.004791796976690071,0.001289713686812224,0.0001311114102955506,0.015138546023220265
dog,0.027302644352114314,0.026579427639498315,0.026579427639498315,0.026579427639498315,0.026579427639498315,0.02516211703490855,0.023108958179629557,0.020507319535588087,0.01747369238535316,0.009828951966761154,0.003805381897254689,0.0027957907816565063,0.0010921057740845726,0.0008202927814235235,0.0006989476954141266,0.00048538034403758785,0.00023783636857841806,0.00012134508600939696,4.853803440375879e-06,0.0,0.0010061934531899197
bottle,0.019492952547924984,0.013453597545502781,0.012475489630671988,0.012000276822994762,0.010630002998915776,0.009762624281990357,0.00813859604604489,0.006662206740639922,0.005651802809753396,0.0041523449214514755,0.0033633993863756953,0.002657500749728944,0.0018454866317562113,0.0009042884495605435,0.0004613716579390528,0.00022607211239013587,1.845486631756211e-05,4.613716579390528e-06,0.0,0.0,0.0009481187570647535
cat,0.07150538247285965,0.07077011350121025,0.07077011350121025,0.07077011350121025,0.07003864436920762,0.06858710562414266,0.06643829630389597,0.05952258814678021,0.05298686395434112,0.04623644882185972,0.039396737457679284,0.03514091705330035,0.03210864501518036,0.02781672613415714,0.024260076224783315,0.018621114188981224,0.014712979112281463,0.010124672738810422,0.00533687478388412,0.00027358845456721727,0.020779233116362487
bird,0.025247706422018353,0.023516961809259655,0.022953701728184343,0.022397269042031147,0.021847663750800085,0.021304885854491147,0.020239812246639642,0.019717516535097075,0.01844164710902496,0.016252613612118626,0.014645615532323446,0.013982504800512054,0.012085342436526564,0.010705355237892041,0.00905397909110305,0.007067207168764669,0.0050599530616599105,0.0030723277149562623,0.0009865585662470664,2.1335609131640708e-05,0.0076680179219116695
pottedplant,0.014412719036017256,0.012776310322239434,0.01138782738648277,0.010506532573159052,0.010363100363608047,0.008982996629096627,0.008202252230715884,0.0077014717327645995,0.0069798746372914874,0.005964019709852906,0.005128071162091705,0.0041718564317516525,0.003395548081088981,0.0028469568466206927,0.0018340592843274928,0.000998110736566292,0.0004436047718072409,0.00014244642116921402,3.15452282174038e-05,1.9715767635877375e-06,0.001899417054040426
sheep,0.0014749262536873156,0.0014749262536873156,0.0014749262536873156,0.0014749262536873156,0.0014749262536873156,0.0014749262536873156,0.0014749262536873156,0.0014749262536873156,0.0014749262536873156,0.0014749262536873156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
boat,0.03506855964082029,0.032636815920398014,0.028778060914937505,0.027302511831088457,0.026579298628807185,0.021788617886178863,0.01988108239291348,0.015221453707074386,0.012624681470695303,0.009828904259191844,0.00738259919912632,0.006290498725882781,0.005285766290498726,0.00497027059822837,0.0035384055333090646,0.002140516927557335,0.0009513408566921491,0.00017473607571896616,4.368401892974154e-05,4.853779881082393e-06,0.0030782672005824534
mAP,0.03367695129785173,0.03136549447257223,0.030350622930060772,0.02957991207843963,0.028929203111637346,0.02752945867991218,0.02618423718211092,0.024084668653224638,0.02197450527632268,0.01920234209281572,0.016282454096973438,0.014658547759121645,0.012764872387475817,0.010775614737983448,0.008366177645794143,0.005946679569507282,0.0040223867154381785,0.0023657254508049792,0.0009157658080976387,5.21754943294346e-05,0.007615039966552599
