,Class,Mean Euclidean Distance@0.50,Mean Euclidean Distance@0.55,Mean Euclidean Distance@0.60,Mean Euclidean Distance@0.65,Mean Euclidean Distance@0.70,Mean Euclidean Distance@0.75,Mean Euclidean Distance@0.80,Mean Euclidean Distance@0.85,Mean Euclidean Distance@0.90,Mean Euclidean Distance@0.95
0,Background,,,,,,,,,,
1,person,26.72969729754923,24.411747464369267,22.197687132178544,19.978071262284836,17.39658453083541,14.76677672283362,12.377534305363353,10.165346302759536,8.256619275112849,5.525332754743908
2,chair,32.27041879533516,28.49459649374167,24.751390613079405,21.664224685355695,17.440762167634944,14.7026002737883,11.94037918995106,9.319632230468295,6.069949544235759,3.8839002606490007
3,car,17.95781320150944,15.741153853245713,14.651291904539102,13.5609034303125,11.674328598204065,10.739183257977835,9.88888791739811,9.14446793378916,7.002990862977687,4.3737200388752475
4,dog,42.35931030814416,40.949227025993785,29.30733826022376,25.609454765415254,23.81673012759195,17.38801059413091,14.799333129435857,12.28661799684461,9.730649040896894,5.363144501109712
5,bottle,18.662521615525613,17.55133097287743,16.644421029633158,16.95529418122922,17.17867723809921,18.54119774058799,9.737718856777722,7.5741075972597995,9.064386065686499,
6,cat,44.57032303418735,41.675916053639305,38.27963285563605,34.916936490202254,31.504809677122065,25.39821819087576,21.352996117015056,16.225595817111504,11.537994383542973,6.9891530142648435
7,bird,26.54866604086501,25.2993427182093,22.63943184942416,20.180650812638003,17.076181847275812,14.389867737686023,11.195720334460107,9.48810944102787,7.668102778830163,5.465974683780857
8,pottedplant,25.73714141049208,22.119577712567327,19.128742047024364,17.516457655423178,12.798152808462916,10.623915312688018,7.885542122128494,6.891028334153766,5.664420939904447,3.75974207595649
9,sheep,,,,,,,,,,
10,boat,45.89826244647627,37.35670959782285,32.78668694954615,28.62270409475092,25.689776180120322,21.277988129994107,16.10888239652764,8.881745412792702,6.010485258345053,6.9087426287165785
