Class,Precision,Recall,F1 Score
Background,0.0,0.0,0.0
person,0.050721768242197346,0.8567953785345089,0.09577378625928255
chair,0.04025658040256581,0.30952380952380953,0.0712468193384224
car,0.0476904210382886,0.6958250497017893,0.0892629431267534
dog,0.04946996466431095,0.07692307692307693,0.060215053763440864
bottle,0.04173106646058733,0.08059701492537313,0.054989816700611004
cat,0.0664819944598338,0.5925925925925926,0.1195516811955168
bird,0.02403669724770642,0.6093023255813953,0.046248896734333626
pottedplant,0.012619077075343313,0.4063745019920319,0.024478041756659467
sheep,0.0,0.0,0.0
boat,0.03880597014925373,0.1902439024390244,0.06446280991735537
Mean,0.041312615526676366,0.4242419613570669,0.06958109431026394
