,AP@0.00,AP@0.05,AP@0.10,AP@0.15,AP@0.20,AP@0.25,AP@0.30,AP@0.35,AP@0.40,AP@0.45,AP@0.50,AP@0.55,AP@0.60,AP@0.65,AP@0.70,AP@0.75,AP@0.80,AP@0.85,AP@0.90,AP@0.95,AP@0.5:0.95
Background,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
person,0.05928271216457044,0.05814958673450411,0.05792427372682736,0.05758712426427258,0.05725095886047017,0.0569901772166502,0.056470399813412744,0.055695198419562775,0.05518137396433359,0.05419715120215199,0.05254072519553719,0.05069919895248525,0.047385763793328296,0.041347968052617645,0.03249804826828833,0.021928716642754545,0.013850323218045605,0.006863925212215155,0.0023274872569402976,0.00012595952030586104,0.026956811611251814
chair,0.05321865664450227,0.04573743345271037,0.04395562792911325,0.041634954068357606,0.03909942120820575,0.035313576138752696,0.03426730622864931,0.030729261927378636,0.027616510611182896,0.022306494150131865,0.018504424030381158,0.01557801495851304,0.013223907660780415,0.010337323712370176,0.007805724197745012,0.004437305422313476,0.002548807901304494,0.0010860950335612708,0.0002168256721595837,1.9666727633522333e-06,0.007374039526189198
car,0.04790662968078228,0.04542377671205947,0.04481338575217668,0.04461083963508668,0.0444087522860988,0.043006986350043276,0.04221607014197267,0.04182336464655014,0.041432494223536134,0.040270893388945204,0.03837159344613064,0.03578964656734796,0.034000450969044395,0.029893558918784507,0.023050573907426562,0.01837113926570954,0.012667734220040323,0.006244980790232645,0.0025289591629867733,0.00023488926829010932,0.020115352651599343
dog,0.11479436834887072,0.11379832647605159,0.11379832647605159,0.10985755950210928,0.1059862333559016,0.1003094456885926,0.1003094456885926,0.09752964255333924,0.08680103466833325,0.07346839574327725,0.05624924049094664,0.04689208895370033,0.040729215492248665,0.0355537038001493,0.02869859208721768,0.024844626147943683,0.01796998420221169,0.012206395500234363,0.004999739596895996,0.00036673437147370793,0.02685103206430221
bottle,0.04111798256156989,0.036368669099597184,0.035000692001194614,0.034103275715128605,0.03277900395533315,0.03234340741388227,0.03148095539870195,0.031054099924972503,0.029375814922459446,0.02694579809590408,0.0257701244873728,0.023497446879803034,0.02097856253141321,0.017308770933036136,0.01260024912043006,0.00797768114041797,0.004248158912611175,0.001888070627827189,0.0002855415455664576,1.3111601582133259e-05,0.011456771778006015
cat,0.15259089718099292,0.15259089718099292,0.15259089718099292,0.15259089718099292,0.15259089718099292,0.15259089718099292,0.14953915630153666,0.14501934310506928,0.13474283688599129,0.13187604999922936,0.1234606433316379,0.11800450054715558,0.10617900463926265,0.10237588816448577,0.07769608976433778,0.056414820979947905,0.03853208181131611,0.02404787225844238,0.0125190733804966,0.0008669718407546122,0.06600969467178372
bird,0.07101183190534477,0.06627906976744186,0.06397388820889433,0.06397388820889433,0.06397388820889433,0.06397388820889433,0.06170950632394941,0.06170950632394941,0.05305997552019584,0.04700122399020808,0.04506323949408405,0.03771929824561404,0.035985312117503054,0.03263973888208894,0.02945736434108527,0.019604243166054674,0.01175030599755202,0.005222358221134231,0.0007343941248470012,2.0399836801305588e-05,0.02181966544267646
pottedplant,0.018872793023170728,0.018117958326192573,0.017746317773853833,0.01683406538177883,0.016475904020457562,0.01577113489011571,0.014742865175354648,0.014076608019348414,0.013587024545606842,0.012478361084420173,0.011416874791794639,0.009570707022080838,0.0083879080102981,0.0063665107573572305,0.00416362582535975,0.0021610031599074942,0.0010634118913423155,0.0004332597112757284,6.932155380411653e-05,1.925598716781015e-06,0.0043634548321937
sheep,0.09660036800140191,0.09295540173486375,0.09295540173486375,0.08938053097345133,0.08938053097345133,0.08938053097345133,0.08761938140716727,0.08761938140716727,0.07742048541137299,0.07255760974327521,0.0648032944887409,0.057487076141242446,0.051949531236309465,0.04928590204153159,0.04669236835187943,0.03933234031367739,0.03154297730658022,0.02018750547621134,0.005046876369052835,0.00021904845351791816,0.03665469201787436
boat,0.04113994286119047,0.036892309871791845,0.035142728968431985,0.03456897976530588,0.031771066984629184,0.029091209595542233,0.027539961750053125,0.026031213845536326,0.023141217859419642,0.018702335135645645,0.016659976861143247,0.013281231553845063,0.010599013056926312,0.009076098505418741,0.006632351899511251,0.005215687200434444,0.0028923570939484804,0.0018511085401270277,0.0004627771350317569,0.0,0.006667060184638633
mAP,0.06965361823723965,0.06663134293562056,0.06579015397524003,0.06451421146953781,0.06337166570344348,0.06187712536569175,0.060589504822939046,0.05912876201728741,0.054235876861243204,0.049980431253318885,0.045284013661776916,0.040851920982178755,0.03694186695071146,0.033418546376784,0.02692949877632811,0.020028756343916113,0.013706614255495242,0.008003157137126132,0.002919099579778142,0.00018510071642057808,0.022826857478051542
