,Class,Mean Euclidean Distance@0.50,Mean Euclidean Distance@0.55,Mean Euclidean Distance@0.60,Mean Euclidean Distance@0.65,Mean Euclidean Distance@0.70,Mean Euclidean Distance@0.75,Mean Euclidean Distance@0.80,Mean Euclidean Distance@0.85,Mean Euclidean Distance@0.90,Mean Euclidean Distance@0.95
0,Background,,,,,,,,,,
1,person,25.978310787759487,23.692279036333474,22.04983284019424,19.661549558515233,17.198127110122996,14.540011408305391,12.66456224886288,10.912899518016243,8.371325309001259,5.243089936803792
2,chair,30.181795445333627,26.614052370404615,23.883241944597337,21.488625621014723,17.127403155010757,12.850628235261064,10.026485654132273,8.046685534732255,6.830126232121016,4.2771944727601126
3,car,21.11757921597158,19.733015650783774,19.186560479851305,18.181468356129958,15.392117592501734,13.243934758635104,11.608009111017004,10.937044060678806,10.671031142988946,7.2216502929899615
4,dog,39.861034193317565,36.8341933955019,33.798810263205944,28.29074311419683,25.690022296077554,21.50869762748277,16.71484123258593,14.53634225881301,12.19012559237729,5.360581705300914
5,bottle,,,,,,,,,,
6,cat,,,,,,,,,,
7,bird,24.863762262630843,22.00822035717728,20.91875797203591,20.05916412779577,17.45813728286429,13.513374793624003,12.40001953947955,9.430862157394909,7.970336930833598,6.31519084233172
8,pottedplant,6.840214873692851,6.977158627536344,6.315629460782545,5.81143716676961,5.852961795329932,3.780581420860386,4.034003052064502,3.411208704254745,4.425875714620487,4.425875714620487
9,sheep,,,,,,,,,,
10,boat,17.163841137097016,17.163841137097016,17.163841137097016,17.97613152915456,17.97613152915456,19.420209106083338,8.54733326785209,4.338218676765543,3.62900747934596,
