Class,Precision,Recall,F1 Score
Background,0.0,0.0,0.0
person,0.04599558027889964,0.9176041349954394,0.08760013932427725
chair,0.01600880908012875,0.6428571428571429,0.031239669421487603
car,0.1558679706601467,0.5069582504970179,0.23842917251051896
dog,0.1134020618556701,0.24175824175824176,0.15438596491228068
bottle,0.0,0.0,0.0
cat,0.0,0.0,0.0
bird,0.08315565031982942,0.1813953488372093,0.11403508771929825
pottedplant,0.07386363636363637,0.05179282868525897,0.060889929742388764
sheep,0.0,0.0,0.0
boat,0.02710843373493976,0.04390243902439024,0.0335195530726257
Mean,0.07362887747046439,0.36946691237924295,0.10287135952898244
