,Class,Mean Euclidean Distance@0.50,Mean Euclidean Distance@0.55,Mean Euclidean Distance@0.60,Mean Euclidean Distance@0.65,Mean Euclidean Distance@0.70,Mean Euclidean Distance@0.75,Mean Euclidean Distance@0.80,Mean Euclidean Distance@0.85,Mean Euclidean Distance@0.90,Mean Euclidean Distance@0.95
0,Background,,,,,,,,,,
1,person,26.05927157622093,23.692847989763802,21.347830411613387,19.664158267709734,17.242771864272985,14.502508195339697,12.168008739909137,9.820003251421118,7.721383299819208,4.979821003290163
2,chair,15.428215630548276,13.725193789230293,11.771046227707673,10.521705529040583,8.322003123051324,6.105084683772561,5.175576213839153,3.8285099986371516,3.331934844965333,2.5567265777455472
3,car,8.80876441543763,8.133819015737778,6.782326055715444,6.018796259401735,5.464717968346529,4.39655099054556,3.3621502997719874,2.8238826623980358,2.6641598567620792,2.7521593796140267
4,dog,36.71847442234712,33.17516986709988,30.286376083509634,27.478685002828904,24.162661289061923,20.764489065200532,15.59148266280534,12.668847515653686,9.905200117360705,7.3446412213498995
5,bottle,7.9096885352937685,6.03461619280187,5.721749185055921,5.4099243884725725,4.878678613336852,4.181174805397303,3.0364181992570343,2.60251672987593,2.379227339242232,2.1643672757998003
6,cat,12.847072986418805,12.013433142824711,10.376625988470748,10.158243359085343,8.681885057256189,7.723251413017624,6.201813226906406,5.465963548566053,4.966579760992379,4.530779750234978
7,bird,14.036509625291222,11.844556213444422,10.61280754909693,8.99260883554423,8.29933254135963,6.608396447914613,5.435443833706059,4.7837679584744475,4.19829546055927,3.8030081824842243
8,pottedplant,22.21727268791454,17.713401289802057,13.345551011240028,10.631819766121462,9.766694564959057,9.333964145627066,8.50218615693301,5.956233073306211,4.869885996031405,
9,sheep,5.926528493950097,5.926528493950097,5.881400419614761,5.881400419614761,5.7994118483981865,5.2032192687730525,3.1576536071238634,2.0761758950765423,1.3976167429741309,2.4024241380391396
10,boat,6.641990764981476,6.517702741655895,6.449468902705424,5.714723886150287,5.356444828128255,4.736217646634808,4.159413310698981,4.060727510776784,3.7473723343486527,3.53613405640946
