Class,Precision,Recall,F1 Score
Background,0.0,0.0,0.0
person,0.03792323164599397,0.8254788689571299,0.07251505722412895
chair,0.13672172808132146,0.9149659863945578,0.23789520229935882
car,0.06918997107039537,0.5705765407554672,0.12341431950118255
dog,0.04697877855175765,0.7967032967032966,0.08872571515985926
bottle,0.16666666666666666,0.6626865671641791,0.2663467306538692
cat,0.10533841754051478,0.9094650205761317,0.18880820162323794
bird,0.04858420268256334,0.7581395348837209,0.09131652661064427
pottedplant,0.06864988558352403,0.23904382470119523,0.10666666666666666
sheep,0.19745222929936307,0.13716814159292035,0.1618798955613577
boat,0.09230769230769231,0.4975609756097561,0.15572519083969466
Mean,0.09698128034297925,0.6311788757338356,0.149329350614
