,epoch,time_elapsed,total_time_elapsed
0,1,831.1902673244476,831.1902673244476
1,2,832.4990644454956,1663.6893317699432
2,3,829.192137002945,2492.881468772888
3,4,830.194593667984,3323.076062440872
4,5,832.9713637828827,4156.047426223755
5,6,833.2251620292664,4989.272588253021
6,7,832.1348984241486,5821.40748667717
7,8,832.9338328838348,6654.341319561005
8,9,831.7596740722656,7486.10099363327
9,10,830.2665870189667,8316.367580652237
10,11,831.2359464168549,9147.603527069092
11,12,831.8862819671631,9979.489809036255
