,epoch,time_elapsed,total_time_elapsed
0,1,508.45291662216187,508.45291662216187
1,2,507.3664445877075,1015.8193612098694
2,3,508.9131100177765,1524.7324712276459
3,4,509.14554953575134,2033.8780207633972
4,5,508.72485637664795,2542.602877140045
5,6,508.7231545448303,3051.3260316848755
6,7,509.6697072982788,3560.9957389831543
7,8,507.94113945961,4068.9368784427643
8,9,509.4245343208313,4578.361412763596
9,10,508.31210136413574,5086.673514127731
10,11,508.3760714530945,5595.049585580826
11,12,508.1444926261902,6103.194078207016
