,AP@0.00,AP@0.05,AP@0.10,AP@0.15,AP@0.20,AP@0.25,AP@0.30,AP@0.35,AP@0.40,AP@0.45,AP@0.50,AP@0.55,AP@0.60,AP@0.65,AP@0.70,AP@0.75,AP@0.80,AP@0.85,AP@0.90,AP@0.95,AP@0.5:0.95
Background,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
aeroplane,0.06999957748859219,0.06999957748859219,0.06999957748859219,0.06901019660864176,0.06802785758548814,0.06705256041913131,0.06512309165680806,0.062281702439299196,0.060422652244943954,0.05413779505379978,0.05154991268097572,0.0507013689369613,0.048197988845698835,0.045757985465607574,0.040311109233282634,0.034508619232719286,0.024843670779111038,0.015337164103430794,0.006816517379302574,0.0005950368993296152,0.03186193735564193
bicycle,0.05204688854998355,0.05204688854998355,0.05204688854998355,0.05204688854998355,0.05204688854998355,0.04857809276038396,0.045228910618701594,0.045228910618701594,0.04199934212493646,0.03737926497413355,0.03163780987410664,0.02637480936574863,0.02046888549983553,0.017284172124039352,0.016282407822732572,0.010899793666457342,0.006593702341437157,0.004321043031009838,0.0033641338476720194,0.0002392272958344547,0.013746598486887349
bird,0.024644745064261706,0.023876644542399218,0.0231207039232575,0.021887824897400824,0.02045295637634899,0.01975376196990424,0.018615459965209167,0.017078583371333028,0.015403218996470252,0.012679400787015925,0.010220398236814105,0.00893415074901623,0.007590481498370235,0.006356251372211244,0.005471956224350206,0.004005336846194119,0.0027670534191282024,0.0014922902838999511,0.0004566719021803381,6.755501511543463e-05,0.0047362145547280065
boat,0.02912786907169963,0.026963005065280262,0.026540062521941188,0.02488172654173423,0.02407261906752035,0.022108360219996993,0.01913940386833615,0.016717096574666912,0.01384342767348167,0.011240575736806032,0.008191377321586788,0.004695832427823936,0.0038516190508032567,0.0030909911566559117,0.002413948745381902,0.00160651298082549,0.0006686838629866765,0.0003276550928634715,0.00016717096574666912,6.686838629866765e-06,0.0025020478443303967
bottle,0.011630850980698602,0.009628037821364382,0.009455341095569274,0.008780182855356724,0.007971399546768773,0.0075048839571774635,0.006614050168008126,0.005645854497147769,0.0047542392748300384,0.003613346878174572,0.0025388762991326095,0.0022786590607173558,0.0018762209892943659,0.0015824021254981636,0.001250293037430648,0.000903336719543643,0.0004133781355005079,0.00020004688598890366,7.81433148394155e-05,7.814331483941549e-07,0.0011122138001094007
bus,0.0639089089089089,0.0639089089089089,0.0639089089089089,0.06278278278278278,0.05946446446446446,0.05837837837837838,0.05837837837837838,0.05730230230230231,0.05518018018018018,0.04905405405405406,0.035315315315315315,0.031236236236236236,0.028908908908908907,0.028153153153153154,0.02667167167167167,0.022467467467467465,0.01801801801801802,0.01626126126126126,0.008008008008008008,0.000845845845845846,0.021588588588588593
car,0.05749111886060686,0.056672750382948216,0.05532183945507284,0.05398722419580876,0.05293126486979761,0.051625981814033835,0.05033699442688133,0.04906430270834012,0.048057882214907276,0.04632174168106117,0.045101196102076066,0.042708991949939705,0.03924290323631979,0.033582439787504484,0.02992178079066584,0.02271485839063977,0.014372779715151714,0.009641821203923996,0.004461428152397093,0.00047061890949385654,0.02422188182381123
cat,0.09395255520217047,0.09395255520217047,0.09395255520217047,0.0930291941680061,0.09028646991096977,0.08669334154098697,0.07972595556467517,0.07972595556467517,0.07062229973895102,0.05548373858623166,0.03505580064521278,0.024659439371658515,0.02279903788060144,0.02014522987129943,0.01647230486873454,0.012484753143417347,0.010854621934954343,0.008207653637016518,0.00364784606089623,0.0005129783523135324,0.015483966576610466
chair,0.026115775867504572,0.02550203054101833,0.02417747909325076,0.022888249017423652,0.02174687245306636,0.0206346871051888,0.01933859709348896,0.018497890058872847,0.01717158713811649,0.015416611203355355,0.013311778539084704,0.011118350532798084,0.009268795056642637,0.006193792312668287,0.0044189663507009395,0.0029017528741671745,0.0016091658084449022,0.0008430423319344902,0.00016872523125281694,5.2544189663507e-06,0.004983962345666039
cow,0.02252705886954056,0.021598208785944054,0.021598208785944054,0.020688913440949575,0.019799172834557132,0.01850122705984728,0.01683907427867458,0.01564379088162539,0.014492505646430773,0.011637513810534138,0.008799632370914282,0.007127702220440568,0.006609501647486727,0.005399552196486013,0.003910947720406347,0.002825659727993586,0.0023490129745690623,0.0010779549654369996,0.00019799172834557134,2.1999080927285703e-05,0.0038319954633006443
diningtable,0.046463889863372174,0.04552996615119135,0.04460552389801743,0.043690563103850416,0.04278508376869033,0.03839990897799354,0.03425177066246954,0.03265888554930833,0.026666603456939955,0.0206506177170543,0.01706662621244157,0.013316709175207882,0.007210649574756563,0.0048545070115389366,0.0029629559396599954,0.0013700708264987817,0.0009291829826773744,0.000573628269918175,0.00011851823758639979,0.0,0.004840284823028568
dog,0.06665675742168278,0.06665675742168278,0.0661349844185665,0.0661349844185665,0.06458196654092176,0.06355687223224536,0.060033623093324585,0.05855441200590455,0.054227488928981465,0.047384984418566506,0.03897921108742004,0.03470559291454814,0.03175332130556011,0.02824749876988683,0.02431113662456946,0.017058594390683943,0.013793669017549614,0.009845005740528129,0.004068599311136624,0.00045206659012629163,0.020321469575200916
horse,0.05271157587548638,0.05271157587548638,0.05271157587548638,0.05271157587548638,0.05168308203631647,0.050664721141374845,0.04965649319066148,0.04767043612191959,0.04013152561608301,0.031619852464332035,0.022743393320363164,0.016460967898832685,0.015326078145265886,0.013699740596627756,0.013177893968871595,0.011673151750972763,0.009367906939040207,0.006566147859922179,0.0029182879377431907,0.0005066472114137484,0.011244021562905316
motorbike,0.04743303571428571,0.04743303571428571,0.04743303571428571,0.04743303571428571,0.04743303571428571,0.04743303571428571,0.04632352941176471,0.04522715336134454,0.04097295168067227,0.034985556722689076,0.02689075630252101,0.022853203781512607,0.01914390756302521,0.014502363445378152,0.011035976890756301,0.007589285714285713,0.004103203781512605,0.0026260504201680674,0.0009453781512605042,0.00032169117647058823,0.011001181722689077
person,0.03938114851537412,0.03881531709610924,0.038717329588084624,0.03839972544921922,0.03830226425640359,0.03798637064196737,0.03752703291329574,0.0369268981262927,0.03604757634071495,0.03524889301108937,0.03376976151554941,0.03214363327811345,0.02980114747164462,0.02520393504983944,0.01881586547011742,0.012385903521739537,0.0076938769630226994,0.004002661993968002,0.0011326651594056874,6.743026618565842e-05,0.016501688068958596
pottedplant,0.0077490549311704585,0.0048960169551971145,0.003994253166362682,0.0037140440794367286,0.0026951019451605346,0.0024658399649483908,0.002037884268552389,0.001839190552368531,0.0011463099010607187,0.0009985632915906705,0.00073363833667886,0.0002496408228976676,0.0002496408228976676,0.0002496408228976676,0.000183409584169715,0.0001273677667845243,0.0001273677667845243,4.585239604242875e-05,5.0947106713809725e-06,0.0,0.00019716530298244362
sheep,0.0035398230088495575,0.0035398230088495575,0.0035398230088495575,0.0035398230088495575,0.0035398230088495575,0.0035398230088495575,0.0035398230088495575,0.0015732546705998034,0.0015732546705998034,0.00039331366764995085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sofa,0.014818555026234331,0.01353062135481841,0.01353062135481841,0.012908607933964127,0.011708487921962926,0.011130381330816008,0.009749145646271945,0.008964311065252866,0.008459382523618214,0.007969089591886018,0.007032410558128983,0.006368319758805148,0.005737159081761835,0.004758402669535246,0.003541817596393786,0.002370968804197493,0.0017581026395322458,0.0008854543990984465,0.0004116265285065092,1.6465061140260365e-05,0.003288072709709995
train,0.06908414166478682,0.06908414166478682,0.06908414166478682,0.06908414166478682,0.06908414166478682,0.06647742938065519,0.06647742938065519,0.06392084617891068,0.06017996340576985,0.055367571496603755,0.04742837807353937,0.04527282753089204,0.04213349374639697,0.038123167155425214,0.03158758803920095,0.024870290999323256,0.018272050530115044,0.010533373436599243,0.003916334561495852,0.0001002581647742938,0.026223776223776224
tvmonitor,0.07054052770323224,0.06797563350511791,0.06671099817132543,0.06671099817132543,0.06421735103426983,0.06298833923100673,0.06298833923100673,0.06298833923100673,0.061771201937920066,0.05937255088227611,0.05702139786733797,0.05702139786733797,0.052461585959579164,0.048091766214643644,0.04597810340323461,0.04391193863253141,0.03612225995677678,0.019290141781651508,0.004993231529199421,0.00029092549932315296,0.036518274871161556
mAP,0.043491192929422086,0.042716074801806746,0.042329192594263716,0.04171553412389294,0.04064151517753063,0.039273699842458605,0.03759624934130067,0.03637550579399364,0.03365617968478042,0.0295477518014452,0.024669383532959964,0.0219113916939744,0.01963156631424249,0.017263849565044825,0.014936006699116555,0.011833783172822132,0.008732885378315635,0.00560391245473312,0.002293818635882315,0.00022607340295193154,0.01271026708500434
