,Class,Mean Euclidean Distance@0.50,Mean Euclidean Distance@0.55,Mean Euclidean Distance@0.60,Mean Euclidean Distance@0.65,Mean Euclidean Distance@0.70,Mean Euclidean Distance@0.75,Mean Euclidean Distance@0.80,Mean Euclidean Distance@0.85,Mean Euclidean Distance@0.90,Mean Euclidean Distance@0.95
0,Background,,,,,,,,,,
1,aeroplane,20.84722606945464,19.677025400294298,19.076474541377653,16.956003106409877,14.734416635034309,13.158447113225897,11.917941250587425,9.877032066707823,7.1446628367766225,6.5338430891480055
2,bicycle,34.11378706906272,32.45651731924807,31.18920531928637,26.566696950226717,24.778474786145072,21.626709554019534,15.614976691292943,12.250754938596035,9.826954607955255,6.044195024188957
3,bird,22.357639324452595,21.006850860824276,18.85526731212757,16.605530713440114,15.229107550692717,11.920898172519479,10.371175510240949,9.078860112944154,7.11653321432233,4.101671295761441
4,boat,21.335088210038723,19.8224117169179,18.776563033547394,17.16562305675986,16.72536345663911,13.429320008094686,11.513678070194132,7.731398895015698,8.130849513269235,1.8058120229030028
5,bottle,25.75947635777611,24.857813517057014,20.43603431004554,18.16355145897988,16.808980970511936,14.993370427207905,12.368786837308619,9.030651038107452,5.946000221380524,4.7238347586636005
6,bus,24.68114623580585,21.804683594753328,20.40907657154577,20.343941107555917,18.97228273322603,16.717481648064663,13.773553375747246,12.345468897621824,9.932375096135793,5.5891503054130744
7,car,15.813881916397182,15.807408155299763,13.958794218509091,12.899316966293785,12.808881632576766,11.177691337804495,9.307762521055444,8.411984692430963,7.089478462979193,5.331891260631537
8,cat,42.13445090676047,38.69516925832542,36.67529165222821,32.62962158280645,29.19203798691549,25.605738970430185,21.545355637847138,17.6759676176783,12.664217170164793,6.658466011948443
9,chair,26.690761123629027,23.386967798539082,20.50813180369421,17.679488778613788,14.338170224174423,11.52525360242194,8.968141091796648,7.166735381528514,5.441096906106224,4.55757840793597
10,cow,12.108912572930294,11.239921164789997,10.786326607117616,9.964952445000236,7.842310620582052,7.096693659697642,6.577811452828866,5.556896322866699,3.6760369659704506,1.9041682296157625
11,diningtable,54.06421999859964,51.97782256533664,45.26139248804378,40.79874681735033,30.964998439887804,21.94956400649071,16.22478054416241,13.621185118910208,8.079362045941746,1.9225284058818668
12,dog,35.46957030753786,32.9964104572015,31.098945658966212,28.113277367386434,23.311473169809815,19.063629135800205,16.02250046537754,12.72592273589466,9.551089084318276,7.305691425794285
13,horse,30.196804349274277,28.358993461408165,25.521289216984982,22.35626822530717,19.68412743069853,17.33336235844202,14.567191359766694,12.454960700248224,9.549349667594438,5.847905981144265
14,motorbike,43.63363388519371,40.58576210328807,36.79871309921522,34.05215386436091,28.971748489662914,24.982342117787166,20.12812586834489,16.366146207938872,10.384653058822138,6.814557602736598
15,person,27.324986767530074,24.871840823331258,22.436273572710004,20.337832650213414,17.69379446376014,14.817832218675546,12.437831999942764,10.49501973201057,8.539153968126882,5.57218793695773
16,pottedplant,27.65357866840764,20.534887883733553,20.2412059930527,21.360043014484507,21.360043014484507,15.132471822814466,13.471771517399695,5.605545951699187,3.5661479343527716,
17,sheep,19.233075617390554,19.233075617390554,19.233075617390554,19.233075617390554,19.233075617390554,,,,,
18,sofa,41.96072056212098,36.84221967806005,34.48304100580514,32.972823694388595,25.39917701469441,19.91201129760021,15.190687354795244,14.085347881326967,9.27707228203561,7.565784679400007
19,train,30.18110821720648,30.263096557289067,29.250037073022444,25.500932243408062,21.65924091712729,18.171033808972204,15.696784539327952,12.09689749999711,8.025261550323107,6.040162943105691
20,tvmonitor,15.0881069328095,14.933047927944115,13.913427900475265,13.64789800519843,13.527858060057442,12.23569349665332,11.272227552473424,9.89024065022748,7.526923822550093,4.500906960743699
